#{"t_start": 1701724770.9321077, "env_id": "multigrid-mapf-v0"}
r,l,t
325.88,1000,105.055898
433.51,1000,252.010153
441.83,1000,362.206053
294.28,1000,512.685442
365.29,1000,661.777624
371.42,1000,771.47725
290.08,1000,923.893986
249.54,1000,1075.049434
259.47,1000,1184.220419
287.89,1000,1334.324923
261.91,1000,1485.165152
361.34,1000,1595.843271
405.11,1000,1744.167036
310.73,1000,1854.493235
428.45,1000,2004.626725
373.93,1000,2155.25825
410.03,1000,2264.042727
409.93,1000,2416.946179
409.77,1000,2568.882022
407.34,1000,2678.446177
74.66,1000,2830.509666
264.87,1000,2976.144729
76.19,1000,3086.377197
260.16,1000,3236.293758
298.76,1000,3387.764122
265.08,1000,3499.515555
290.12,1000,3650.667408
207.79,1000,3759.507941
253.97,1000,3909.458277
269.64,1000,4059.528802
249.37,1000,4167.782664
299.79,1000,4312.172955
296.4,1000,4437.084608
172.01,1000,4530.637542
200.72,1000,4653.177027
87.46,1000,4774.702461
153.92,1000,4868.629549
100.73,1000,4992.679812
264.03,1000,5088.619177
293.6,1000,5216.297936
300.01,1000,5364.794389
299.91,1000,5472.786218
300.7,1000,5618.534549
300.0,1000,5765.715333
209.56,1000,5873.829298
299.92,1000,6001.22771
280.39,1000,6149.250553
190.78,1000,6259.184229
200.03,1000,6409.328946
123.71,1000,6560.291387
210.01,1000,6666.475195
110.02,1000,6814.753745
302.16,1000,6922.802638
186.94,1000,7070.980991
183.36,1000,7221.200049
183.57,1000,7328.370955
170.81,1000,7477.473882
255.99,1000,7624.828365
300.03,1000,7732.78531
390.41,1000,7882.855148
153.93,1000,8029.536485
300.7,1000,8137.02135
200.0,1000,8285.793229
300.0,1000,8388.319759
276.18,1000,8539.636119
297.84,1000,8687.50268
204.81,1000,8796.53055
200.0,1000,8945.8062
153.92,1000,9093.818626
253.92,1000,9203.246663
269.04,1000,9351.335945
56.08,1000,9499.671854
236.64,1000,9607.75506
300.0,1000,9757.072043
200.0,1000,9902.974434
200.0,1000,10012.551679
200.0,1000,10160.401994
300.0,1000,10270.395241
300.0,1000,10418.266329
188.1,1000,10567.103607
44.56,1000,10676.931787
117.2,1000,10827.619931
153.92,1000,10979.466415
110.0,1000,11086.815766
156.8,1000,11236.621303
100.0,1000,11382.721847
53.92,1000,11490.874435
159.59,1000,11639.038213
161.84,1000,11745.975673
155.81,1000,11894.798726
143.84,1000,12046.456965
168.32,1000,12155.197837
110.0,1000,12305.156907
200.0,1000,12453.499581
174.8,1000,12561.057779
156.08,1000,12713.458474
110.0,1000,12862.257643
156.08,1000,12969.734932
29.06,1000,13116.345496
100.0,1000,13264.919747
100.0,1000,13374.776583
100.0,1000,13526.669056
100.0,1000,13635.434789
0.0,1000,13782.137922
100.0,1000,13933.043755
100.0,1000,14039.957758
0.0,1000,14185.752045
0.0,1000,14333.120791
0.0,1000,14440.403972
0.0,1000,14590.422333
100.0,1000,14740.92247
100.0,1000,14851.319019
100.0,1000,14995.893699
0.0,1000,15104.033116
100.0,1000,15252.917643
100.0,1000,15403.688256
100.0,1000,15512.00461
100.0,1000,15660.726849
100.0,1000,15811.47139
100.0,1000,15919.069233
100.0,1000,16070.371076
0.0,1000,16220.491204
100.0,1000,16327.928996
100.0,1000,16476.329653
100.0,1000,16626.541304
0.0,1000,16737.11573
100.0,1000,16887.824059
100.0,1000,16991.773325
0.0,1000,17142.552064
100.0,1000,17292.266783
100.0,1000,17403.504603
100.0,1000,17552.869255
100.0,1000,17703.679559
48.8,1000,17812.923209
100.0,1000,17963.113102
100.0,1000,18115.818064
100.0,1000,18224.283505
100.0,1000,18372.47811
100.0,1000,18483.823782
100.0,1000,18634.309151
0.0,1000,18784.615598
100.0,1000,18893.294683
100.0,1000,19039.887039
100.0,1000,19190.669095
0.0,1000,19300.297222
0.0,1000,19450.809957
100.0,1000,19599.351857
100.0,1000,19707.58987
100.0,1000,19856.656541
100.0,1000,20000.984882
0.0,1000,20109.98609
100.0,1000,20256.227759
0.0,1000,20365.429664
100.0,1000,20514.460163
100.0,1000,20663.36071
100.0,1000,20772.990384
100.0,1000,20924.356918
100.0,1000,21072.36725
0.0,1000,21183.868981
100.0,1000,21332.588148
100.0,1000,21482.091759
0.0,1000,21590.134409
0.0,1000,21737.76474
100.0,1000,21847.673095
100.0,1000,21996.614807
100.0,1000,22147.180911
0.0,1000,22256.936442
100.0,1000,22406.928385
100.0,1000,22558.911644
100.0,1000,22665.556217
100.0,1000,22809.045864
0.0,1000,22961.725747
100.0,1000,23071.655727
100.0,1000,23221.886602
100.0,1000,23370.711606
0.0,1000,23479.708752
0.0,1000,23631.270822
100.0,1000,23743.135257
100.0,1000,23895.81342
100.0,1000,24042.551204
100.0,1000,24151.597896
0.0,1000,24302.883235
100.0,1000,24452.748291
0.0,1000,24562.216663
100.0,1000,24709.021067
100.0,1000,24858.241422
100.0,1000,24968.484621
100.0,1000,25118.809738
100.0,1000,25227.912738
100.0,1000,25374.339632
100.0,1000,25524.499382
100.0,1000,25627.383619
48.8,1000,25776.118611
100.0,1000,25925.424292
0.0,1000,26022.951235
0.0,1000,26148.232839
100.0,1000,26271.561476
0.0,1000,26367.07158
34.4,1000,26491.987396
0.01,1000,26624.082549
0.01,1000,26731.470002
27.21,1000,26883.847253
0.0,1000,26997.027628
20.3,1000,27155.418767
0.0,1000,27312.728022
0.0,1000,27426.289665
0.0,1000,27582.69364
0.0,1000,27739.823121
0.0,1000,27853.879892
0.0,1000,28012.230984
0.0,1000,28171.037069
0.0,1000,28283.878255
0.0,1000,28443.113165
0.0,1000,28597.364067
0.0,1000,28712.266321
0.0,1000,28869.080757
0.0,1000,28980.989668
0.0,1000,29136.069253
0.0,1000,29293.9742
0.0,1000,29407.217741
0.0,1000,29564.282494
0.0,1000,29720.448057
0.0,1000,29833.215856
0.0,1000,29985.488719
0.0,1000,30142.488013
0.0,1000,30257.378556
0.0,1000,30413.57138
0.0,1000,30527.770142
0.0,1000,30683.318925
0.0,1000,30840.027644
0.0,1000,30952.404825
0.0,1000,31106.201592
0.0,1000,31263.480631
0.0,1000,31375.376448
0.0,1000,31524.229997
0.0,1000,31681.164531
0.0,1000,31794.586887
0.0,1000,31949.520598
0.0,1000,32111.255407
0.0,1000,32222.362298
0.0,1000,32379.934937
0.0,1000,32493.462135
0.0,1000,32654.076196
0.0,1000,32812.943326
0.0,1000,32925.077217
0.0,1000,33081.750033
0.0,1000,33238.553462
0.0,1000,33352.53776
0.0,1000,33510.753654
0.0,1000,33666.457174
0.0,1000,33776.361307
0.0,1000,33931.102431
0.0,1000,34044.967016
0.0,1000,34202.037533
0.0,1000,34359.693131
0.0,1000,34467.97472
0.0,1000,34621.670913
0.0,1000,34777.861021
0.0,1000,34888.627476
0.0,1000,35048.177289
0.0,1000,35207.887115
0.0,1000,35319.279463
0.0,1000,35472.219922
0.0,1000,35627.772431
0.0,1000,35740.416637
0.0,1000,35900.28025
0.0,1000,36014.657311
0.0,1000,36169.6911
0.0,1000,36326.523066
0.0,1000,36439.202811
0.0,1000,36598.16985
0.0,1000,36754.65311
0.0,1000,36865.499822
0.0,1000,37018.533157
0.0,1000,37174.334393
0.0,1000,37286.194889
0.0,1000,37443.878229
0.0,1000,37551.86946
0.0,1000,37710.046356
0.0,1000,37860.628895
0.0,1000,37972.253934
0.0,1000,38129.806798
0.0,1000,38288.924941
0.0,1000,38401.692549
0.0,1000,38558.476766
0.0,1000,38714.653383
0.0,1000,38828.719569
0.0,1000,38983.782852
0.0,1000,39141.334915
0.0,1000,39255.044893
0.0,1000,39411.370903
0.0,1000,39525.481421
0.0,1000,39681.086157
0.0,1000,39840.204306
0.0,1000,39952.352957
0.0,1000,40109.350409
0.0,1000,40266.498295
0.0,1000,40380.552805
0.0,1000,40530.350216
0.0,1000,40688.139821
0.0,1000,40800.879651
0.0,1000,40953.864079
0.0,1000,41066.776012
0.0,1000,41225.201549
0.0,1000,41382.956523
0.0,1000,41495.524134
0.0,1000,41650.471192
0.0,1000,41805.815918
0.0,1000,41917.364858
0.0,1000,42074.282825
0.0,1000,42229.601162
0.0,1000,42340.457976
