#{"t_start": 1701724770.99274, "env_id": "multigrid-mapf-v0"}
r,l,t
229.98,1000,105.13927
478.09,1000,252.094081
388.8,1000,362.288363
299.87,1000,512.765922
402.72,1000,661.915348
385.23,1000,771.558295
316.4,1000,923.976541
394.92,1000,1075.131404
337.57,1000,1184.302792
495.62,1000,1334.405917
450.43,1000,1485.247977
436.37,1000,1595.927367
410.02,1000,1744.249355
423.54,1000,1854.575207
456.12,1000,2004.708751
455.93,1000,2155.336706
399.61,1000,2264.125641
398.67,1000,2417.079093
253.18,1000,2568.96416
409.92,1000,2678.527978
130.32,1000,2830.59153
129.28,1000,2976.223309
85.15,1000,3086.458828
68.38,1000,3236.372146
176.18,1000,3387.848877
302.39,1000,3499.600264
120.93,1000,3650.748925
135.52,1000,3759.588546
289.44,1000,3909.537085
281.64,1000,4059.670358
299.95,1000,4167.864288
300.16,1000,4312.246656
183.13,1000,4437.159687
182.13,1000,4530.718351
330.13,1000,4653.302395
349.43,1000,4774.77611
369.13,1000,4868.706063
289.53,1000,4992.754712
460.13,1000,5088.698748
400.7,1000,5216.383079
400.11,1000,5364.929499
498.53,1000,5472.869157
351.33,1000,5618.619088
399.84,1000,5765.795644
459.57,1000,5873.902776
353.58,1000,6001.31133
251.63,1000,6149.335392
410.09,1000,6259.266914
453.68,1000,6409.411968
370.37,1000,6560.370286
428.0,1000,6666.554896
402.01,1000,6814.83034
254.75,1000,6922.884617
399.31,1000,7071.058035
400.13,1000,7221.2752
429.61,1000,7328.448784
332.05,1000,7477.555359
208.56,1000,7624.908741
500.0,1000,7732.865744
172.47,1000,7882.937355
341.43,1000,8029.619337
300.81,1000,8137.098356
453.92,1000,8285.86967
399.64,1000,8388.398337
453.92,1000,8539.717629
300.7,1000,8687.580562
400.7,1000,8796.61473
400.0,1000,8945.888118
464.72,1000,9093.959246
353.93,1000,9203.326875
465.61,1000,9351.416399
400.11,1000,9499.754997
499.91,1000,9607.837792
276.13,1000,9757.152726
399.91,1000,9903.058008
499.91,1000,10012.630137
310.0,1000,10160.48458
356.78,1000,10270.477638
469.76,1000,10418.347501
321.52,1000,10567.1895
490.64,1000,10677.012033
220.0,1000,10827.704467
499.91,1000,10979.54682
220.27,1000,11086.896531
297.86,1000,11236.702193
310.7,1000,11382.80313
230.61,1000,11490.955739
356.08,1000,11639.116819
157.42,1000,11746.053123
145.92,1000,11894.883402
310.0,1000,12046.536756
310.0,1000,12155.277146
210.0,1000,12305.24304
110.7,1000,12453.580553
356.17,1000,12561.197129
310.0,1000,12713.537596
10.7,1000,12862.339277
210.7,1000,12969.81356
355.99,1000,13116.476097
210.7,1000,13264.997424
387.67,1000,13374.861674
210.0,1000,13526.754397
310.0,1000,13635.517944
310.0,1000,13782.215936
210.0,1000,13933.122041
210.0,1000,14040.034929
310.0,1000,14185.830525
210.83,1000,14333.25317
351.04,1000,14440.484506
249.06,1000,14590.504983
400.0,1000,14741.00249
253.92,1000,14851.402046
156.87,1000,14995.969912
110.79,1000,15104.115068
284.16,1000,15253.054476
374.08,1000,15403.770638
274.24,1000,15512.085816
278.42,1000,15660.810204
29.96,1000,15811.606503
356.08,1000,15919.152219
