#{"t_start": 1701724771.0002651, "env_id": "multigrid-mapf-v0"}
r,l,t
512.55,1000,105.148756
317.79,1000,252.103904
271.13,1000,362.299387
273.93,1000,512.776537
311.21,1000,661.925571
195.84,1000,771.568524
89.34,1000,923.986924
386.88,1000,1075.141158
456.05,1000,1184.312979
383.32,1000,1334.416795
430.57,1000,1485.258988
330.83,1000,1595.937353
235.32,1000,1744.259331
256.83,1000,1854.585513
310.03,1000,2004.718277
310.02,1000,2155.347484
310.03,1000,2264.136177
316.94,1000,2417.089975
338.87,1000,2568.97454
173.73,1000,2678.539464
210.7,1000,2830.600996
220.01,1000,2976.232242
96.73,1000,3086.469145
120.12,1000,3236.381833
105.06,1000,3387.85951
256.22,1000,3499.61214
210.35,1000,3650.758926
72.11,1000,3759.598524
201.03,1000,3909.545889
258.67,1000,4059.680304
281.4,1000,4167.874084
85.12,1000,4312.256926
299.86,1000,4437.169937
281.42,1000,4530.727441
220.3,1000,4653.31213
350.85,1000,4774.785143
364.92,1000,4868.715628
300.03,1000,4992.765039
300.72,1000,5088.709194
342.41,1000,5216.393398
444.81,1000,5364.93949
306.41,1000,5472.880524
349.61,1000,5618.629402
300.83,1000,5765.805739
403.23,1000,5873.912148
226.45,1000,6001.321351
200.01,1000,6149.345296
200.01,1000,6259.276464
164.71,1000,6409.421699
200.02,1000,6560.380906
256.17,1000,6666.564816
140.42,1000,6814.84124
100.01,1000,6922.894482
224.83,1000,7071.067703
126.94,1000,7221.284354
100.13,1000,7328.458512
200.13,1000,7477.56575
287.04,1000,7624.919502
200.01,1000,7732.874567
200.01,1000,7882.947296
299.73,1000,8029.628819
204.5,1000,8137.106892
144.25,1000,8285.878879
156.2,1000,8388.407474
300.0,1000,8539.728693
258.24,1000,8687.589839
200.67,1000,8796.623981
200.0,1000,8945.898803
200.0,1000,9093.969161
200.0,1000,9203.33628
200.0,1000,9351.425993
300.0,1000,9499.765439
300.0,1000,9607.84876
200.0,1000,9757.164392
300.0,1000,9903.068612
130.16,1000,10012.639938
200.0,1000,10160.494917
300.0,1000,10270.489277
300.0,1000,10418.357869
300.0,1000,10567.199379
121.0,1000,10677.023478
200.0,1000,10827.714971
100.0,1000,10979.556536
200.0,1000,11086.906438
100.0,1000,11236.712543
100.01,1000,11382.813859
200.0,1000,11490.965871
100.0,1000,11639.126219
200.0,1000,11746.062693
200.0,1000,11894.894406
200.0,1000,12046.548733
100.0,1000,12155.286498
100.0,1000,12305.254038
0.0,1000,12453.5903
100.0,1000,12561.207108
200.0,1000,12713.546998
200.0,1000,12862.349001
