#{"t_start": 1701724770.9623709, "env_id": "multigrid-mapf-v0"}
r,l,t
193.47,1000,105.099809
377.79,1000,252.052604
316.66,1000,362.247771
221.3,1000,512.726993
214.56,1000,661.818871
221.23,1000,771.518172
221.57,1000,923.935784
222.67,1000,1075.088721
227.33,1000,1184.260084
210.04,1000,1334.365991
155.34,1000,1485.205969
110.03,1000,1595.88361
110.0,1000,1744.206198
31.73,1000,1854.533195
89.71,1000,2004.668104
21.58,1000,2155.298297
44.59,1000,2264.08209
10.03,1000,2417.039013
57.55,1000,2568.922587
55.63,1000,2678.488037
10.77,1000,2830.550747
54.67,1000,2976.185529
13.09,1000,3086.416758
45.24,1000,3236.333136
48.82,1000,3387.805892
60.0,1000,3499.558267
189.12,1000,3650.707231
200.0,1000,3759.547527
100.54,1000,3909.498861
200.0,1000,4059.629488
120.86,1000,4167.823884
74.76,1000,4312.21003
23.36,1000,4437.12166
148.81,1000,4530.677584
230.42,1000,4653.214025
253.92,1000,4774.739113
100.0,1000,4868.668702
100.11,1000,4992.716968
200.03,1000,5088.658329
200.0,1000,5216.338784
220.2,1000,5364.833955
100.0,1000,5472.826953
100.0,1000,5618.577491
152.03,1000,5765.757271
100.02,1000,5873.867452
61.12,1000,6001.269562
100.83,1000,6149.292818
100.01,1000,6259.227301
100.0,1000,6409.372372
153.92,1000,6560.328792
53.92,1000,6666.515898
200.0,1000,6814.789266
122.43,1000,6922.843843
200.0,1000,7071.018648
178.42,1000,7221.238282
200.0,1000,7328.408555
53.92,1000,7477.514157
200.0,1000,7624.868371
200.0,1000,7732.824991
200.0,1000,7882.897112
200.0,1000,8029.577197
160.4,1000,8137.059997
197.84,1000,8285.831995
200.0,1000,8388.361825
200.0,1000,8539.677075
100.0,1000,8687.541941
160.4,1000,8796.573134
47.44,1000,8945.848718
200.0,1000,9093.91688
200.0,1000,9203.286327
53.92,1000,9351.377468
171.2,1000,9499.714451
182.72,1000,9607.797365
29.44,1000,9757.113527
156.08,1000,9903.01633
76.24,1000,10012.590119
35.92,1000,10160.444595
123.81,1000,10270.43719
100.0,1000,10418.304747
0.0,1000,10567.146233
100.0,1000,10676.972938
0.0,1000,10827.661283
100.0,1000,10979.506237
100.0,1000,11086.856134
100.0,1000,11236.660825
0.0,1000,11382.762204
100.0,1000,11490.914825
100.0,1000,11639.075817
100.0,1000,11746.01429
100.0,1000,11894.840665
100.0,1000,12046.49678
100.0,1000,12155.237043
100.0,1000,12305.199534
100.0,1000,12453.541659
0.0,1000,12561.156875
100.0,1000,12713.499789
100.0,1000,12862.298091
100.0,1000,12969.774237
0.0,1000,13116.383657
100.0,1000,13264.958843
0.0,1000,13374.819715
100.0,1000,13526.713039
99.91,1000,13635.47749
100.0,1000,13782.175933
100.0,1000,13933.083449
0.0,1000,14039.995979
0.0,1000,14185.792489
100.0,1000,14333.216214
100.0,1000,14440.444514
100.0,1000,14590.463439
100.0,1000,14740.962569
100.0,1000,14851.361251
100.0,1000,14995.931474
100.0,1000,15104.0748
0.0,1000,15253.014281
0.0,1000,15403.72981
48.8,1000,15512.044977
100.0,1000,15660.768282
100.0,1000,15811.510138
81.02,1000,15919.111596
100.0,1000,16070.412671
100.0,1000,16220.528022
48.8,1000,16327.970195
100.0,1000,16476.370993
100.0,1000,16626.639625
0.0,1000,16737.157912
100.0,1000,16887.918732
100.0,1000,16991.871521
100.0,1000,17142.652914
48.8,1000,17292.309091
95.2,1000,17403.543822
0.0,1000,17552.91048
0.0,1000,17703.719624
100.0,1000,17812.962826
51.3,1000,17963.153572
83.2,1000,18115.924859
0.0,1000,18224.322703
100.0,1000,18372.52104
0.0,1000,18483.866087
100.0,1000,18634.346611
80.0,1000,18784.655357
68.8,1000,18893.332105
100.0,1000,19039.928955
48.8,1000,19190.708478
0.0,1000,19300.340202
0.0,1000,19450.906552
100.0,1000,19599.392117
0.0,1000,19707.631707
100.0,1000,19856.698065
100.0,1000,20001.0249
100.0,1000,20110.02513
0.0,1000,20256.267966
100.0,1000,20365.47224
0.0,1000,20514.500011
100.0,1000,20663.399939
0.0,1000,20773.030445
100.0,1000,20924.398798
100.0,1000,21072.409151
100.0,1000,21183.911455
100.0,1000,21332.62816
100.0,1000,21482.133993
0.03,1000,21590.174696
100.0,1000,21737.804665
100.0,1000,21847.709441
86.41,1000,21996.653945
100.0,1000,22147.221908
91.22,1000,22256.977983
93.62,1000,22406.969513
0.0,1000,22558.951247
0.0,1000,22665.598973
49.62,1000,22809.086525
100.0,1000,22961.765176
100.0,1000,23071.695161
0.0,1000,23221.924422
0.0,1000,23370.753504
0.0,1000,23479.749589
0.01,1000,23631.313202
100.0,1000,23743.177652
100.0,1000,23895.85453
100.0,1000,24042.591632
100.0,1000,24151.64046
100.0,1000,24302.92605
100.0,1000,24452.790709
0.0,1000,24562.258806
100.0,1000,24709.062272
0.0,1000,24858.28202
100.0,1000,24968.525075
100.0,1000,25118.850034
0.0,1000,25227.951701
0.0,1000,25374.379533
46.4,1000,25524.540083
0.0,1000,25627.422113
0.0,1000,25776.157616
0.0,1000,25925.466499
100.0,1000,26022.990843
