#{"t_start": 1701724771.0155501, "env_id": "multigrid-mapf-v0"}
r,l,t
441.26,1000,105.168786
346.05,1000,252.124499
376.04,1000,362.320125
244.96,1000,512.798054
278.81,1000,661.946777
410.5,1000,771.58739
344.9,1000,924.007748
367.85,1000,1075.16092
419.57,1000,1184.333797
414.91,1000,1334.436649
420.0,1000,1485.27975
386.28,1000,1595.958052
339.05,1000,1744.280216
429.49,1000,1854.605475
572.61,1000,2004.737671
431.63,1000,2155.367821
243.62,1000,2264.156138
312.65,1000,2417.110231
195.85,1000,2568.995737
161.06,1000,2678.559638
122.58,1000,2830.619682
70.76,1000,2976.254267
63.19,1000,3086.488158
163.95,1000,3236.401798
115.18,1000,3387.878838
220.72,1000,3499.6326
145.06,1000,3650.779261
222.51,1000,3759.620507
155.57,1000,3909.564333
248.85,1000,4059.700784
253.39,1000,4167.89429
299.78,1000,4312.275191
181.2,1000,4437.187543
152.72,1000,4530.745849
319.09,1000,4653.328039
350.34,1000,4774.802087
200.92,1000,4868.735056
500.0,1000,4992.78269
349.5,1000,5088.727083
493.61,1000,5216.474391
420.2,1000,5364.959335
447.21,1000,5472.900013
400.24,1000,5618.648653
400.03,1000,5765.824694
399.93,1000,5873.931118
400.12,1000,6001.397929
363.3,1000,6149.365617
291.56,1000,6259.295456
400.13,1000,6409.499345
400.02,1000,6560.40266
400.11,1000,6666.585864
453.92,1000,6814.861092
320.11,1000,6922.915334
200.7,1000,7071.088257
358.97,1000,7221.304512
281.81,1000,7328.480683
299.91,1000,7477.638751
300.02,1000,7624.938469
300.11,1000,7732.893094
300.01,1000,7882.967645
299.55,1000,8029.648878
299.94,1000,8137.125379
300.01,1000,8285.897744
400.0,1000,8388.428106
300.0,1000,8539.748311
348.8,1000,8687.610476
253.83,1000,8796.643732
300.7,1000,8945.920372
300.7,1000,9093.989275
300.0,1000,9203.356943
200.7,1000,9351.445122
400.0,1000,9499.783279
300.7,1000,9607.869334
300.61,1000,9757.184471
400.0,1000,9903.089517
276.33,1000,10012.659693
254.62,1000,10160.515266
399.73,1000,10270.509712
300.7,1000,10418.377297
400.0,1000,10567.220257
300.61,1000,10677.042655
200.7,1000,10827.736014
353.92,1000,10979.577182
400.0,1000,11086.92482
399.73,1000,11236.733444
399.82,1000,11382.834813
200.76,1000,11490.985802
400.0,1000,11639.14419
353.83,1000,11746.081897
300.7,1000,11894.915991
399.73,1000,12046.567639
122.94,1000,12155.305966
286.31,1000,12305.274128
399.91,1000,12453.608419
353.83,1000,12561.225213
330.79,1000,12713.566633
302.95,1000,12862.369812
274.8,1000,12969.843246
