#{"t_start": 1701724771.0231133, "env_id": "multigrid-mapf-v0"}
r,l,t
480.6,1000,105.17893
311.13,1000,252.134695
380.3,1000,362.329896
398.63,1000,512.807991
470.13,1000,661.956905
244.8,1000,771.595801
223.09,1000,924.01861
347.24,1000,1075.172103
238.02,1000,1184.344342
193.5,1000,1334.446676
194.17,1000,1485.290088
160.51,1000,1595.968505
145.95,1000,1744.289289
120.06,1000,1854.615661
34.41,1000,2004.748319
234.51,1000,2155.377293
209.62,1000,2264.168576
120.02,1000,2417.12003
120.0,1000,2569.006117
117.16,1000,2678.570529
30.75,1000,2830.68505
136.56,1000,2976.26395
157.55,1000,3086.497824
105.54,1000,3236.411955
54.78,1000,3387.888413
191.46,1000,3499.643622
199.74,1000,3650.789157
49.55,1000,3759.640281
200.0,1000,3909.574488
218.44,1000,4059.711447
120.82,1000,4167.904524
75.32,1000,4312.285068
121.4,1000,4437.196855
228.03,1000,4530.754526
200.03,1000,4653.336722
284.03,1000,4774.812868
100.73,1000,4868.74394
288.81,1000,4992.791853
200.03,1000,5088.736664
293.61,1000,5216.484126
200.02,1000,5364.96935
300.0,1000,5472.91162
154.64,1000,5618.658887
100.01,1000,5765.833947
100.06,1000,5873.940222
200.0,1000,6001.408126
300.0,1000,6149.37628
62.34,1000,6259.306026
100.01,1000,6409.509229
100.02,1000,6560.412514
100.0,1000,6666.595527
120.15,1000,6814.871216
122.44,1000,6922.925236
100.0,1000,7071.098235
300.0,1000,7221.313448
200.0,1000,7328.490937
83.92,1000,7477.648151
87.04,1000,7624.950325
200.01,1000,7732.903236
200.0,1000,7882.977648
142.31,1000,8029.660966
200.0,1000,8137.136102
200.0,1000,8285.907069
200.0,1000,8388.43743
200.0,1000,8539.758319
300.0,1000,8687.61978
300.0,1000,8796.654572
200.7,1000,8945.930788
300.0,1000,9094.000067
200.0,1000,9203.36713
200.7,1000,9351.454231
200.0,1000,9499.792328
300.0,1000,9607.879851
100.7,1000,9757.194332
220.5,1000,9903.09931
200.0,1000,10012.67006
0.7,1000,10160.525505
200.0,1000,10270.519914
200.0,1000,10418.386817
100.7,1000,10567.231025
0.7,1000,10677.053184
200.0,1000,10827.745615
200.0,1000,10979.58662
100.7,1000,11086.934593
53.92,1000,11236.743153
200.0,1000,11382.844518
0.7,1000,11490.995291
4.73,1000,11639.154992
200.0,1000,11746.091864
