#{"t_start": 1701724770.9471238, "env_id": "multigrid-mapf-v0"}
r,l,t
287.66,1000,105.080267
222.51,1000,252.032325
74.63,1000,362.226524
210.96,1000,512.7065
131.3,1000,661.799243
85.21,1000,771.498305
110.06,1000,923.915228
110.03,1000,1075.069526
63.96,1000,1184.239666
131.64,1000,1334.344486
110.04,1000,1485.184288
10.7,1000,1595.863253
76.34,1000,1744.186903
10.02,1000,1854.51294
10.03,1000,2004.647951
53.97,1000,2155.277562
44.59,1000,2264.062703
10.01,1000,2416.966172
110.01,1000,2568.902098
10.04,1000,2678.466166
58.76,1000,2830.532366
100.0,1000,2976.165515
56.1,1000,3086.395387
5.55,1000,3236.314059
94.3,1000,3387.785907
100.06,1000,3499.536562
200.0,1000,3650.686697
253.83,1000,3759.528162
200.0,1000,3909.478427
83.48,1000,4059.549446
100.0,1000,4167.803197
100.06,1000,4312.191107
233.04,1000,4437.103864
200.02,1000,4530.659075
130.41,1000,4653.196505
100.01,1000,4774.720933
200.0,1000,4868.649813
100.02,1000,4992.699255
240.01,1000,5088.639646
200.01,1000,5216.318031
196.41,1000,5364.814035
254.61,1000,5472.806908
210.0,1000,5618.556671
199.19,1000,5765.736089
59.31,1000,5873.847862
200.0,1000,6001.247682
108.02,1000,6149.271422
53.92,1000,6259.205798
200.0,1000,6409.351191
215.21,1000,6560.310162
217.61,1000,6666.495658
73.96,1000,6814.772219
173.66,1000,6922.823415
178.4,1000,7070.999672
275.52,1000,7221.220283
166.16,1000,7328.390817
188.09,1000,7477.494524
253.92,1000,7624.848868
300.0,1000,7732.805592
300.0,1000,7882.875045
162.65,1000,8029.557293
295.68,1000,8137.041521
300.0,1000,8285.813112
200.0,1000,8388.340848
100.0,1000,8539.654291
100.11,1000,8687.521137
253.92,1000,8796.552451
300.0,1000,8945.826312
300.0,1000,9093.897595
217.13,1000,9203.266294
153.93,1000,9351.357984
300.0,1000,9499.694073
300.0,1000,9607.775483
153.92,1000,9757.091426
200.0,1000,9902.995845
300.0,1000,10012.572254
300.0,1000,10160.42465
300.0,1000,10270.4149
300.0,1000,10418.286235
300.0,1000,10567.124952
200.0,1000,10676.951752
192.8,1000,10827.641625
261.12,1000,10979.486893
300.0,1000,11086.837193
53.92,1000,11236.641103
254.55,1000,11382.741454
298.56,1000,11490.89483
153.92,1000,11639.057232
200.01,1000,11745.995846
100.03,1000,11894.820079
300.0,1000,12046.475862
153.92,1000,12155.218502
70.48,1000,12305.178744
110.0,1000,12453.521268
235.2,1000,12561.134473
110.0,1000,12713.480255
210.0,1000,12862.278352
299.91,1000,12969.75388
256.08,1000,13116.365385
210.09,1000,13264.939745
222.24,1000,13374.797045
237.73,1000,13526.691208
246.0,1000,13635.455605
156.08,1000,13782.156527
50.32,1000,13933.064449
210.0,1000,14039.976293
154.64,1000,14185.771685
153.92,1000,14333.140062
62.17,1000,14440.424259
256.08,1000,14590.443101
10.09,1000,14740.942647
253.92,1000,14851.340559
100.0,1000,14995.912545
269.76,1000,15104.053039
101.78,1000,15252.937458
110.09,1000,15403.710238
122.83,1000,15512.024956
200.0,1000,15660.747691
178.41,1000,15811.490764
100.01,1000,15919.090599
200.0,1000,16070.39133
200.0,1000,16220.509026
200.0,1000,16327.950659
200.0,1000,16476.349331
200.0,1000,16626.56275
100.0,1000,16737.136382
100.0,1000,16887.897187
0.0,1000,16991.850147
100.03,1000,17142.573528
200.0,1000,17292.288677
100.0,1000,17403.524268
200.0,1000,17552.889937
0.0,1000,17703.700406
100.0,1000,17812.942289
100.0,1000,17963.133508
200.0,1000,18115.904849
100.0,1000,18224.303767
100.0,1000,18372.50006
200.0,1000,18483.843206
100.0,1000,18634.327491
200.0,1000,18784.634536
100.0,1000,18893.313487
200.0,1000,19039.907461
200.0,1000,19190.689115
200.0,1000,19300.319797
100.0,1000,19450.82911
120.5,1000,19599.372229
100.0,1000,19707.610585
0.0,1000,19856.676222
100.0,1000,20001.004659
0.0,1000,20110.006011
100.0,1000,20256.247868
0.0,1000,20365.450703
100.0,1000,20514.479607
100.0,1000,20663.380787
100.0,1000,20773.009729
0.0,1000,20924.379132
100.0,1000,21072.38809
100.0,1000,21183.889799
100.0,1000,21332.607768
100.0,1000,21482.112639
0.0,1000,21590.155797
100.0,1000,21737.784331
100.0,1000,21847.691094
100.0,1000,21996.634083
0.0,1000,22147.202261
100.0,1000,22256.95893
100.0,1000,22406.950311
100.0,1000,22558.929906
100.0,1000,22665.57702
100.0,1000,22809.06672
100.0,1000,22961.746027
100.0,1000,23071.67728
100.0,1000,23221.905803
8.01,1000,23370.732517
99.91,1000,23479.728595
100.0,1000,23631.291977
100.0,1000,23743.155551
0.02,1000,23895.83353
99.91,1000,24042.572143
26.4,1000,24151.620131
0.0,1000,24302.904664
78.41,1000,24452.769265
29.62,1000,24562.238081
99.91,1000,24709.040705
100.0,1000,24858.261787
100.0,1000,24968.505703
99.91,1000,25118.829749
100.0,1000,25227.930003
100.0,1000,25374.360792
0.0,1000,25524.519788
100.0,1000,25627.40328
100.0,1000,25776.137012
2.42,1000,25925.444484
56.0,1000,26022.971689
0.0,1000,26148.30632
0.0,1000,26271.580332
0.0,1000,26367.090608
0.0,1000,26492.006941
0.0,1000,26624.105012
48.71,1000,26731.491178
0.0,1000,26883.867336
0.0,1000,26997.049995
0.0,1000,27155.440231
2.9,1000,27312.750684
0.03,1000,27426.310858
0.01,1000,27582.714107
100.0,1000,27739.842943
99.91,1000,27853.899929
100.0,1000,28012.250392
0.0,1000,28171.05612
0.01,1000,28283.898945
56.8,1000,28443.131938
0.01,1000,28597.383866
0.0,1000,28712.28643
100.0,1000,28869.100289
0.0,1000,28981.0107
0.01,1000,29136.091563
99.91,1000,29293.995324
0.0,1000,29407.236318
100.0,1000,29564.30137
100.0,1000,29720.467402
74.8,1000,29833.235357
100.0,1000,29985.509645
0.0,1000,30142.509258
0.0,1000,30257.398418
30.43,1000,30413.590814
0.02,1000,30527.790204
0.01,1000,30683.339024
0.0,1000,30840.048672
100.0,1000,30952.426786
0.0,1000,31106.221381
100.0,1000,31263.501376
0.0,1000,31375.39811
0.0,1000,31524.251354
100.0,1000,31681.185132
100.0,1000,31794.607963
0.03,1000,31949.602997
51.2,1000,32111.276348
100.0,1000,32222.382832
0.0,1000,32379.957218
0.0,1000,32493.480514
0.0,1000,32654.09872
0.02,1000,32812.964643
0.03,1000,32925.096141
0.03,1000,33081.771291
100.0,1000,33238.574353
100.0,1000,33352.55823
100.0,1000,33510.830612
0.0,1000,33666.477842
100.0,1000,33776.37975
100.0,1000,33931.122165
100.0,1000,34044.987843
20.2,1000,34202.057997
0.0,1000,34359.71354
0.0,1000,34467.995359
0.0,1000,34621.69191
0.0,1000,34777.883502
0.0,1000,34888.649477
0.0,1000,35048.196954
0.0,1000,35207.906427
0.0,1000,35319.298019
0.0,1000,35472.240346
0.0,1000,35627.793154
0.0,1000,35740.435185
0.0,1000,35900.301463
0.0,1000,36014.677535
0.0,1000,36169.711424
0.0,1000,36326.541747
0.0,1000,36439.223949
0.0,1000,36598.189876
0.0,1000,36754.673886
0.0,1000,36865.518035
0.0,1000,37018.553556
0.0,1000,37174.353158
0.0,1000,37286.215261
0.0,1000,37443.897397
0.0,1000,37551.890029
0.0,1000,37710.065922
0.0,1000,37860.650652
0.0,1000,37972.275196
0.0,1000,38129.846615
0.0,1000,38288.94658
0.0,1000,38401.712767
0.0,1000,38558.49761
0.0,1000,38714.673655
0.0,1000,38828.74151
0.0,1000,38983.808469
0.0,1000,39141.354769
0.0,1000,39255.06496
0.0,1000,39411.394034
0.0,1000,39525.501966
0.0,1000,39681.106048
0.0,1000,39840.22413
0.0,1000,39952.374766
0.0,1000,40109.372041
0.0,1000,40266.519068
0.0,1000,40380.572556
0.0,1000,40530.369404
0.0,1000,40688.158675
0.0,1000,40800.899489
0.0,1000,40953.88219
0.0,1000,41066.795257
0.0,1000,41225.221823
0.0,1000,41382.97776
0.0,1000,41495.544419
0.0,1000,41650.489971
0.0,1000,41805.836161
0.0,1000,41917.443793
0.0,1000,42074.303107
0.0,1000,42229.622385
0.0,1000,42340.478909
