#{"t_start": 1701558089.0081303, "env_id": "multigrid-mapf-v0"}
r,l,t
80.02,1000,17.291996
80.01,1000,31.672796
80.04,1000,45.948315
80.05,1000,60.336689
80.05,1000,74.743984
80.03,1000,89.093627
80.05,1000,103.495501
80.02,1000,117.846551
80.01,1000,132.29385
80.01,1000,146.720796
80.04,1000,161.061346
80.04,1000,175.507279
80.04,1000,189.918738
80.05,1000,204.262844
80.02,1000,218.670443
80.01,1000,233.090248
80.04,1000,247.434323
80.04,1000,261.819368
80.03,1000,276.225178
80.04,1000,290.559999
80.03,1000,304.961532
80.04,1000,319.135998
80.03,1000,333.485588
80.04,1000,347.882118
80.02,1000,362.29191
80.04,1000,444.406774
80.04,1000,458.855252
80.04,1000,473.23993
80.03,1000,487.683112
80.04,1000,502.138755
80.02,1000,516.52797
80.01,1000,531.006503
80.02,1000,545.493938
80.03,1000,559.889843
80.03,1000,574.368441
80.02,1000,588.863577
80.01,1000,603.278954
80.03,1000,617.741176
80.03,1000,632.222007
80.02,1000,646.609374
80.03,1000,661.081327
80.02,1000,675.46986
80.01,1000,689.709383
80.03,1000,704.189523
80.05,1000,718.585471
80.03,1000,733.057169
80.02,1000,747.536572
80.0,1000,761.940147
80.01,1000,776.420388
80.02,1000,790.889681
80.04,1000,873.424539
80.04,1000,887.892502
80.06,1000,902.369869
80.04,1000,916.742576
80.03,1000,931.23195
80.03,1000,945.703066
80.05,1000,960.113925
80.03,1000,974.612137
80.01,1000,989.024699
80.03,1000,1003.526176
80.05,1000,1018.004937
