#{"t_start": 1701623991.7662466, "env_id": "multigrid-mapf-v0"}
r,l,t
200.54,1000,18.710248
106.65,1000,35.505021
129.95,1000,50.662429
165.3,1000,66.296993
238.24,1000,82.109793
238.59,1000,98.555258
182.66,1000,114.436934
91.62,1000,130.217322
30.26,1000,146.349757
95.71,1000,161.859538
115.15,1000,178.144785
18.11,1000,193.933054
97.82,1000,210.305938
59.24,1000,226.151206
60.35,1000,241.638722
50.91,1000,256.15211
69.36,1000,273.69
112.13,1000,289.740195
109.79,1000,305.30657
158.14,1000,320.953063
37.12,1000,337.878954
54.77,1000,355.268048
12.19,1000,371.443811
60.1,1000,387.89342
5.82,1000,403.745057
4.02,1000,492.375884
1.13,1000,508.131743
3.53,1000,525.413343
156.09,1000,542.243791
6.97,1000,558.051813
51.23,1000,573.858453
107.55,1000,587.777788
5.16,1000,603.795679
2.1,1000,619.920491
74.43,1000,635.673602
90.51,1000,650.180254
13.55,1000,666.720579
51.6,1000,682.980041
6.05,1000,699.161885
15.76,1000,714.622235
110.5,1000,731.042952
66.35,1000,747.749823
15.05,1000,763.363851
109.76,1000,779.026608
96.99,1000,794.070378
15.54,1000,808.634644
5.94,1000,823.738232
4.54,1000,839.736281
43.12,1000,856.088145
28.59,1000,872.967451
129.79,1000,963.190812
9.82,1000,979.612937
10.73,1000,995.816735
105.73,1000,1011.897207
10.05,1000,1028.360649
34.35,1000,1043.976735
157.73,1000,1061.084633
67.04,1000,1077.269
48.03,1000,1093.97245
13.93,1000,1109.742765
107.95,1000,1126.214996
60.73,1000,1141.613919
51.69,1000,1157.685701
14.91,1000,1175.02216
60.96,1000,1191.285267
51.68,1000,1207.32507
98.73,1000,1224.255179
107.84,1000,1239.743452
19.2,1000,1254.389105
40.48,1000,1270.728572
89.77,1000,1286.347854
73.94,1000,1302.196425
126.48,1000,1317.079335
88.41,1000,1334.089382
77.6,1000,1349.494631
58.57,1000,1438.956967
56.08,1000,1456.473537
10.73,1000,1472.430444
6.41,1000,1489.917498
26.43,1000,1505.956412
100.3,1000,1522.92283
9.92,1000,1537.772892
56.89,1000,1553.158021
10.34,1000,1569.171721
19.94,1000,1585.336346
59.62,1000,1600.2775
102.9,1000,1616.395772
113.63,1000,1633.192811
67.62,1000,1648.823402
56.09,1000,1664.630378
18.89,1000,1680.468096
107.87,1000,1696.577091
132.81,1000,1713.714858
95.94,1000,1729.235046
63.3,1000,1744.704113
53.36,1000,1760.545901
27.93,1000,1775.28925
4.88,1000,1792.085022
34.14,1000,1806.945743
34.4,1000,1822.459826
45.23,1000,1914.202053
4.91,1000,1931.707202
56.09,1000,1947.894892
15.79,1000,1963.855523
144.8,1000,1979.384149
98.58,1000,1995.562995
4.99,1000,2013.379781
5.12,1000,2028.754566
5.13,1000,2044.678047
9.47,1000,2061.056398
0.83,1000,2078.089469
43.55,1000,2093.661974
13.53,1000,2109.007298
69.79,1000,2126.990936
56.11,1000,2143.925627
81.21,1000,2161.043815
28.65,1000,2178.224934
29.93,1000,2194.709745
26.74,1000,2210.721816
49.7,1000,2227.141265
0.03,1000,2242.398022
0.02,1000,2258.385122
0.0,1000,2274.138198
39.21,1000,2291.448338
48.8,1000,2306.551296
44.02,1000,2398.249494
0.0,1000,2413.692384
0.02,1000,2429.56601
0.0,1000,2445.078657
0.01,1000,2461.832845
0.02,1000,2478.293351
0.03,1000,2494.632609
0.0,1000,2509.673662
0.02,1000,2525.375672
0.03,1000,2539.652391
0.01,1000,2554.714176
0.0,1000,2570.02262
0.0,1000,2585.998847
51.2,1000,2601.032701
0.0,1000,2617.769472
28.8,1000,2633.470834
51.23,1000,2650.265799
0.01,1000,2666.146094
0.0,1000,2682.303645
0.0,1000,2697.750062
0.0,1000,2713.143259
0.0,1000,2727.775047
0.01,1000,2744.10909
0.0,1000,2760.828223
0.02,1000,2775.990475
47.2,1000,2865.170273
55.2,1000,2879.538646
0.0,1000,2895.388938
0.0,1000,2912.148968
0.0,1000,2928.704934
86.4,1000,2945.221936
16.01,1000,2962.145789
0.02,1000,2978.951996
0.0,1000,2994.581073
0.02,1000,3011.615678
0.03,1000,3028.128687
0.02,1000,3045.010753
0.03,1000,3061.103415
0.02,1000,3077.824193
0.02,1000,3093.372966
88.81,1000,3108.818309
0.0,1000,3125.140339
0.01,1000,3141.152026
0.01,1000,3157.976655
0.01,1000,3173.713396
0.02,1000,3189.294409
0.0,1000,3205.831657
0.03,1000,3221.718212
43.2,1000,3237.054611
59.2,1000,3253.144659
0.0,1000,3342.319879
51.23,1000,3359.445429
0.02,1000,3375.163062
0.03,1000,3391.117951
51.23,1000,3407.133308
0.01,1000,3422.481806
0.0,1000,3438.652192
0.01,1000,3454.741449
19.2,1000,3470.003085
0.0,1000,3486.333449
14.4,1000,3501.571968
0.0,1000,3517.032462
39.2,1000,3532.682565
0.03,1000,3549.981266
0.03,1000,3567.167641
0.02,1000,3582.164189
0.02,1000,3597.302209
0.02,1000,3613.541394
0.0,1000,3629.659433
0.02,1000,3646.329576
0.0,1000,3663.118758
0.0,1000,3679.082189
0.02,1000,3694.656786
0.02,1000,3710.615756
0.0,1000,3726.507373
