#{"t_start": 1701652913.8303888, "env_id": "multigrid-mapf-v0"}
r,l,t
273.92,1000,104.92434
464.91,1000,207.481651
298.62,1000,311.650961
308.62,1000,483.350014
276.57,1000,587.786502
333.18,1000,694.166139
179.32,1000,870.333374
356.8,1000,974.860771
228.34,1000,1083.094986
386.62,1000,1251.381057
267.35,1000,1358.690807
467.58,1000,1467.458034
327.94,1000,1638.466974
154.62,1000,1745.053856
425.04,1000,1850.591809
454.81,1000,2023.123934
354.23,1000,2129.299102
300.0,1000,2239.541323
400.0,1000,2409.83308
410.0,1000,2513.977449
358.8,1000,2621.480799
264.64,1000,2794.838968
449.46,1000,2899.766061
296.1,1000,3007.822327
493.42,1000,3115.148063
402.72,1000,3278.452172
410.0,1000,3383.043854
278.32,1000,3490.557031
211.6,1000,3659.292585
310.01,1000,3766.853588
230.83,1000,3877.694124
