#{"t_start": 1701652913.8460228, "env_id": "multigrid-mapf-v0"}
r,l,t
191.93,1000,104.943118
386.3,1000,207.498813
318.52,1000,311.669713
259.96,1000,483.371941
397.45,1000,587.804379
291.47,1000,694.186508
264.74,1000,870.351187
458.63,1000,974.880851
402.49,1000,1083.112834
439.04,1000,1251.400054
254.58,1000,1358.710009
243.76,1000,1467.48078
248.82,1000,1638.488111
233.65,1000,1745.075416
293.44,1000,1850.614043
184.8,1000,2023.14246
184.81,1000,2129.320752
392.83,1000,2239.561728
263.92,1000,2409.849174
307.6,1000,2513.996907
303.88,1000,2621.503593
304.84,1000,2794.857825
298.56,1000,2899.785156
308.82,1000,3007.841487
306.21,1000,3115.166389
252.8,1000,3278.470593
232.83,1000,3383.061881
105.88,1000,3490.575693
300.0,1000,3659.311267
222.72,1000,3766.877506
220.81,1000,3877.717382
