#{"t_start": 1701879788.6214943, "env_id": "multigrid-mapf-v0"}
r,l,t
92.79,1000,107.007924
56.46,1000,215.1016
78.75,1000,325.227535
25.93,1000,506.257156
30.8,1000,619.803511
0.36,1000,731.403154
0.24,1000,910.405446
0.14,1000,1022.204485
0.03,1000,1132.372676
0.28,1000,1318.736277
0.15,1000,1431.106401
0.22,1000,1545.002867
0.44,1000,1727.722877
0.52,1000,1837.766297
22.35,1000,1951.698688
0.11,1000,2136.066878
0.23,1000,2244.88695
0.49,1000,2356.806329
0.0,1000,2537.146525
0.0,1000,2651.688148
0.01,1000,2767.47243
0.14,1000,2954.327863
