#{"t_start": 1701879788.5556126, "env_id": "multigrid-mapf-v0"}
r,l,t
120.61,1000,106.93209
92.04,1000,214.943143
51.54,1000,325.149835
24.51,1000,506.171772
4.67,1000,619.724057
28.27,1000,731.322546
0.0,1000,910.323948
0.0,1000,1022.126795
0.11,1000,1132.209075
9.17,1000,1318.6535
0.0,1000,1431.024058
0.22,1000,1544.917142
0.21,1000,1727.640446
0.02,1000,1837.681347
0.51,1000,1951.61864
0.0,1000,2135.987812
0.0,1000,2244.808464
0.53,1000,2356.728368
0.49,1000,2537.062666
0.13,1000,2651.603567
0.07,1000,2767.391369
0.11,1000,2954.24347
