#{"t_start": 1701879788.6050777, "env_id": "multigrid-mapf-v0"}
r,l,t
106.96,1000,106.989861
104.62,1000,215.08218
53.84,1000,325.209616
49.85,1000,506.238371
25.35,1000,619.78377
35.39,1000,731.38343
31.6,1000,910.38474
0.01,1000,1022.184973
0.21,1000,1132.35163
0.2,1000,1318.718062
0.03,1000,1431.084304
0.12,1000,1544.979447
0.11,1000,1727.700939
0.11,1000,1837.744106
0.02,1000,1951.6797
0.21,1000,2136.047278
0.01,1000,2244.868282
0.24,1000,2356.787495
0.12,1000,2537.125613
0.53,1000,2651.668851
0.0,1000,2767.453109
0.21,1000,2954.30637
