#{"t_start": 1700953977.758574, "env_id": "multigrid-mapf-v0"}
r,l,t
0.0,1000,13.363448
0.0,1000,24.394239
0.6,1000,34.950741
0.6,1000,54.185487
0.8,1000,65.937265
0.8,1000,78.466432
1.8,1000,98.421621
3.2,1000,110.16835
3.0,1000,121.052048
5.2,1000,140.405238
19.6,1000,151.80163
100.0,1000,163.887254
188.0,1000,184.20576
190.4,1000,195.104107
199.2,1000,205.786119
204.8,1000,225.259185
218.6,1000,237.20443
312.6,1000,249.128117
378.4,1000,269.070422
395.6,1000,280.053439
395.0,1000,291.384303
395.8,1000,310.3259
398.6,1000,321.658371
400.0,1000,333.655871
399.8,1000,345.324908
398.8,1000,365.58694
399.8,1000,376.379817
399.8,1000,387.504967
399.2,1000,408.035068
399.0,1000,420.651433
400.4,1000,431.834044
399.8,1000,451.352813
399.8,1000,462.481153
400.0,1000,473.759114
400.8,1000,493.276429
400.4,1000,505.461541
402.6,1000,516.626113
400.6,1000,536.884091
401.0,1000,547.968301
402.4,1000,558.790831
409.4,1000,578.55335
424.0,1000,591.405545
469.0,1000,602.878976
608.0,1000,622.403064
746.2,1000,633.400963
781.8,1000,644.508948
790.4,1000,664.815728
792.0,1000,676.763364
796.8,1000,688.324734
798.6,1000,699.756728
797.4,1000,719.56894
796.2,1000,730.446487
797.4,1000,741.330697
799.0,1000,761.50844
799.4,1000,773.61772
799.0,1000,785.147649
799.8,1000,804.424226
796.6,1000,815.323581
795.4,1000,826.437215
800.0,1000,847.80048
801.2,1000,859.444948
804.6,1000,871.138705
