#{"t_start": 1700870808.294138, "env_id": "multigrid-mapf-v0"}
r,l,t
100.4,200,4.63766
113.0,200,7.47553
123.0,200,9.881386
126.2,200,12.723006
141.8,200,15.131663
146.6,200,17.974655
148.0,200,20.399587
164.8,200,23.244654
160.4,200,26.103089
173.0,200,28.584965
189.6,200,31.425445
186.4,200,33.845425
176.6,200,36.683918
189.0,200,39.095556
201.4,200,41.92089
229.2,200,45.865501
221.0,200,48.705409
247.0,200,51.548882
256.6,200,53.979172
267.6,200,56.88905
277.2,200,59.320733
331.8,200,62.143262
305.8,200,64.558741
293.0,200,67.416698
336.8,200,70.279631
329.6,200,72.701748
343.8,200,75.567237
413.2,200,77.998834
405.8,200,80.84181
413.8,200,83.358975
388.6,200,86.207067
441.8,200,90.165773
421.6,200,93.019176
446.2,200,95.863194
460.6,200,98.283504
480.2,200,101.132113
518.4,200,103.564607
481.0,200,106.438645
520.4,200,108.848016
525.6,200,111.774315
498.0,200,114.625556
558.2,200,117.035264
528.6,200,119.84701
589.0,200,122.260858
536.0,200,125.096884
505.4,200,127.496719
537.2,200,131.905625
551.8,200,134.345086
584.2,200,137.193183
683.2,200,140.110878
650.6,200,142.546788
692.0,200,145.385134
538.0,200,147.803154
569.0,200,150.640599
634.6,200,153.060138
549.8,200,155.899764
557.0,200,158.735868
644.0,200,161.166321
488.6,200,164.004823
517.0,200,166.491083
520.4,200,169.310659
566.4,200,171.71228
565.8,200,176.089524
596.4,200,178.489426
710.0,200,181.313668
551.4,200,184.154044
632.4,200,186.538233
733.2,200,189.378074
611.2,200,191.761643
588.8,200,194.664592
598.6,200,197.060098
593.4,200,199.90659
651.0,200,202.729062
611.6,200,205.143328
688.4,200,208.01128
682.2,200,210.422244
646.4,200,213.244802
664.6,200,215.632038
664.2,200,219.990779
624.2,200,222.490484
686.2,200,225.289051
634.2,200,228.075278
705.6,200,230.477252
675.0,200,233.287467
637.8,200,235.685035
709.6,200,238.519232
724.0,200,240.942292
679.6,200,243.778539
709.8,200,246.617126
566.8,200,249.034871
640.0,200,251.931796
680.6,200,254.339142
651.0,200,257.156124
661.2,200,261.12358
575.6,200,263.961881
657.8,200,266.37004
651.6,200,269.189632
637.4,200,271.997565
695.8,200,274.420117
624.8,200,277.219621
567.6,200,279.685038
634.0,200,282.475215
670.2,200,284.862003
590.2,200,287.680493
622.2,200,290.479566
670.8,200,292.857331
659.0,200,295.659949
651.6,200,298.063233
671.6,200,300.855898
599.6,200,304.795511
636.2,200,307.647529
627.8,200,310.020416
578.8,200,312.798717
585.8,200,315.618186
597.2,200,318.039959
597.2,200,320.814874
572.0,200,323.197133
594.6,200,325.987926
594.4,200,328.392766
599.8,200,331.179706
597.0,200,334.044478
573.0,200,336.420566
592.8,200,339.188588
584.8,200,341.616899
566.6,200,344.43832
588.0,200,348.418582
545.4,200,351.259295
596.0,200,353.646154
589.0,200,356.455524
567.2,200,359.236414
593.6,200,361.690524
558.4,200,364.487644
590.8,200,366.877768
594.2,200,369.680919
596.2,200,372.049243
594.2,200,374.831665
577.2,200,377.598256
595.6,200,379.986428
598.0,200,382.761807
574.8,200,385.140831
590.4,200,389.525954
594.2,200,391.883632
600.2,200,394.671211
599.4,200,397.054329
591.4,200,399.837072
595.2,200,402.606355
593.6,200,404.997046
583.4,200,407.813496
576.6,200,410.196339
595.6,200,412.959075
600.2,200,415.335986
594.0,200,418.230025
598.6,200,421.016008
598.0,200,423.386622
598.8,200,426.137079
593.6,200,428.532172
595.8,200,432.855598
589.8,200,435.228371
598.4,200,438.016278
598.4,200,440.372493
597.8,200,443.158505
588.0,200,446.004424
592.4,200,448.395911
592.0,200,451.188648
592.6,200,453.604204
578.8,200,456.381082
600.2,200,458.761669
579.6,200,461.532088
601.2,200,464.370996
581.6,200,466.745701
598.6,200,469.557654
585.4,200,473.534511
599.4,200,476.304866
580.8,200,478.676933
594.0,200,481.453386
595.8,200,483.822814
576.4,200,486.60062
594.2,200,489.389583
593.6,200,491.751577
558.0,200,494.502438
597.8,200,496.935759
582.2,200,499.744583
585.8,200,502.191425
594.0,200,504.998456
583.2,200,507.826534
596.4,200,510.189285
593.8,200,512.924595
594.0,200,516.779203
587.6,200,519.546431
