#{"t_start": 1700870808.2840443, "env_id": "multigrid-mapf-v0"}
r,l,t
104.2,200,4.637201
122.2,200,7.474535
131.6,200,9.880683
128.0,200,12.722057
134.8,200,15.130755
159.0,200,17.974019
151.4,200,20.398397
154.2,200,23.243952
182.2,200,26.101863
162.4,200,28.505982
169.8,200,31.424764
184.6,200,33.844403
176.8,200,36.683267
188.4,200,39.094586
212.2,200,41.919893
234.8,200,45.864579
233.4,200,48.704067
241.6,200,51.547828
238.2,200,53.97808
258.2,200,56.808726
273.0,200,59.319947
288.0,200,62.142234
324.4,200,64.558068
304.0,200,67.415816
301.2,200,70.27842
351.6,200,72.70078
380.6,200,75.565965
369.0,200,77.997873
373.4,200,80.840695
401.4,200,83.279884
412.6,200,86.206236
445.0,200,90.164757
444.0,200,93.018033
464.4,200,95.862455
459.2,200,98.282453
491.2,200,101.131302
478.2,200,103.563502
454.4,200,106.437744
603.0,200,108.847021
513.0,200,111.694499
499.8,200,114.624779
581.6,200,117.034483
539.6,200,119.845935
605.0,200,122.260095
429.0,200,125.095535
487.6,200,127.496076
531.6,200,131.90439
399.4,200,134.344104
529.2,200,137.192364
478.0,200,140.031672
514.0,200,142.545883
462.4,200,145.384313
485.0,200,147.802142
419.4,200,150.639652
597.6,200,153.058946
601.0,200,155.899004
482.0,200,158.734641
568.2,200,161.165109
488.2,200,164.003981
419.2,200,166.411808
550.2,200,169.309539
600.8,200,171.711614
637.6,200,176.088527
544.2,200,178.488877
610.4,200,181.312576
611.4,200,184.153042
640.2,200,186.537254
627.0,200,189.377047
581.4,200,191.760822
602.8,200,194.585227
580.2,200,197.058953
654.6,200,199.905801
632.6,200,202.728085
684.2,200,205.142413
680.0,200,208.01011
595.0,200,210.421404
581.0,200,213.243791
545.6,200,215.630795
575.0,200,219.989863
581.4,200,222.410398
542.8,200,225.288096
454.2,200,228.074489
574.6,200,230.476174
643.0,200,233.286749
586.4,200,235.683854
545.8,200,238.518279
684.2,200,240.941384
550.6,200,243.777363
605.0,200,246.616161
594.0,200,249.033648
672.4,200,251.930773
654.0,200,254.338451
560.6,200,257.154987
598.0,200,261.122773
626.6,200,263.960696
560.0,200,266.369246
596.2,200,269.188914
559.2,200,271.996335
615.8,200,274.418916
716.0,200,277.218484
582.8,200,279.683977
568.0,200,282.474417
584.8,200,284.856589
653.0,200,287.679599
673.4,200,290.478332
559.8,200,292.856003
695.2,200,295.658889
692.0,200,298.061919
626.2,200,300.854905
620.2,200,304.794389
668.4,200,307.646406
688.4,200,310.019515
678.2,200,312.797684
596.2,200,315.617172
610.0,200,318.03858
592.0,200,320.813624
618.2,200,323.196163
585.4,200,325.986602
598.2,200,328.391899
596.4,200,331.17864
584.8,200,333.963877
588.8,200,336.4199
579.6,200,339.187453
590.8,200,341.615761
592.0,200,344.437615
590.4,200,348.417498
588.6,200,351.258543
596.6,200,353.645015
587.0,200,356.454883
582.8,200,359.235473
589.2,200,361.609476
585.0,200,364.486736
591.0,200,366.876834
