#{"t_start": 1700870808.28736, "env_id": "multigrid-mapf-v0"}
r,l,t
112.6,200,4.637474
110.0,200,7.474865
120.6,200,9.880934
137.0,200,12.72229
137.0,200,15.131227
143.6,200,17.974292
148.4,200,20.398794
158.6,200,23.244214
161.2,200,26.102185
185.8,200,28.506597
183.8,200,31.425061
191.6,200,33.844701
211.6,200,36.683556
209.8,200,39.094855
223.6,200,41.920492
225.2,200,45.864982
270.4,200,48.704453
247.6,200,51.548213
265.6,200,53.978434
280.0,200,56.809366
287.0,200,59.320275
246.6,200,62.1426
263.0,200,64.5583
286.4,200,67.416094
308.0,200,70.279126
315.8,200,72.701149
284.0,200,75.566325
310.2,200,77.998224
365.2,200,80.841085
391.8,200,83.280212
397.8,200,86.206543
399.6,200,90.165051
371.0,200,93.018705
351.2,200,95.862708
413.6,200,98.282717
425.8,200,101.13163
419.6,200,103.563857
300.6,200,106.438042
379.0,200,108.847393
283.8,200,111.69477
296.6,200,114.625091
405.4,200,117.034725
410.6,200,119.8465
435.6,200,122.260456
393.8,200,125.095936
272.0,200,127.496365
380.4,200,131.904704
446.2,200,134.344473
459.6,200,137.192683
367.4,200,140.032068
449.0,200,142.546305
384.8,200,145.384541
324.6,200,147.802743
295.6,200,150.639967
444.2,200,153.059273
313.2,200,155.899327
379.4,200,158.735029
210.2,200,161.165749
296.2,200,164.004378
278.0,200,166.412151
374.8,200,169.310188
351.4,200,171.711904
340.2,200,176.089048
415.8,200,178.489063
295.0,200,181.31288
417.0,200,184.153489
225.0,200,186.537569
521.4,200,189.377586
329.4,200,191.761117
505.8,200,194.585503
496.2,200,197.059559
401.0,200,199.906106
452.4,200,202.728399
399.2,200,205.142737
377.6,200,208.010434
561.0,200,210.421677
505.6,200,213.244133
444.8,200,215.631517
403.4,200,219.990222
542.6,200,222.410841
506.6,200,225.28864
538.0,200,228.074795
430.8,200,230.476533
559.4,200,233.287057
431.2,200,235.684289
549.0,200,238.518587
501.8,200,240.941744
464.6,200,243.778036
565.4,200,246.616575
497.0,200,249.034091
577.4,200,251.931404
541.0,200,254.3387
508.2,200,257.155404
543.6,200,261.123084
568.2,200,263.961093
571.0,200,266.369562
574.6,200,269.189196
535.6,200,271.996999
576.6,200,274.41936
568.4,200,277.218773
510.0,200,279.684597
579.6,200,282.474739
571.4,200,284.86122
580.8,200,287.679947
579.4,200,290.478681
576.8,200,292.856755
584.2,200,295.659234
589.2,200,298.062329
590.4,200,300.855265
572.8,200,304.794716
575.6,200,307.646995
523.4,200,310.019823
577.2,200,312.797913
593.2,200,315.617584
573.2,200,318.039004
579.2,200,320.814327
549.2,200,323.196486
584.8,200,325.987074
570.2,200,328.392232
