#{"t_start": 1700870808.30076, "env_id": "multigrid-mapf-v0"}
r,l,t
110.2,200,4.63832
120.6,200,7.476116
101.8,200,9.882049
107.6,200,12.723738
118.6,200,15.132394
128.4,200,17.975461
133.6,200,20.400214
134.6,200,23.245471
138.0,200,26.103748
155.2,200,28.585636
169.8,200,31.426306
181.0,200,33.846119
179.2,200,36.684436
207.2,200,39.096426
199.6,200,41.921392
236.0,200,45.866467
223.6,200,48.706047
218.8,200,51.54977
253.8,200,53.979963
292.8,200,56.88959
280.8,200,59.321742
300.4,200,62.14386
283.4,200,64.559427
333.0,200,67.417688
335.6,200,70.280382
346.2,200,72.70271
374.2,200,75.568079
377.2,200,77.999665
380.2,200,80.84263
418.0,200,83.359576
409.6,200,86.207736
396.0,200,90.166551
419.4,200,93.019938
413.8,200,95.864183
357.4,200,98.284282
457.6,200,101.133028
478.6,200,103.565369
408.2,200,106.439286
431.4,200,108.849026
400.0,200,111.77514
470.4,200,114.626216
412.0,200,117.036167
478.6,200,119.847692
483.4,200,122.261793
490.0,200,125.097453
518.0,200,127.497285
539.0,200,131.906383
498.8,200,134.345791
478.8,200,137.194057
503.8,200,140.111605
532.6,200,142.547537
465.6,200,145.386086
565.6,200,147.80385
585.2,200,150.641611
584.6,200,153.060868
589.4,200,155.900536
453.0,200,158.736528
576.8,200,161.167034
453.8,200,164.005685
248.8,200,166.491689
306.2,200,169.311224
477.2,200,171.713129
477.8,200,176.09029
322.6,200,178.490359
555.6,200,181.314415
520.8,200,184.154751
532.6,200,186.538806
414.2,200,189.378829
576.6,200,191.762452
520.8,200,194.665182
393.8,200,197.060791
554.6,200,199.907434
485.8,200,202.729735
476.6,200,205.144248
553.6,200,208.01193
587.6,200,210.423007
547.2,200,213.245803
560.4,200,215.632764
565.2,200,219.991787
614.8,200,222.491068
468.6,200,225.289606
542.0,200,228.076116
341.8,200,230.477868
603.4,200,233.28838
559.6,200,235.685641
577.6,200,238.519958
624.4,200,240.943187
626.0,200,243.779161
612.2,200,246.618204
592.6,200,249.114051
608.8,200,251.932475
584.6,200,254.340147
670.0,200,257.156754
591.6,200,261.124609
599.4,200,263.962515
595.4,200,266.370707
616.2,200,269.190657
589.6,200,271.998212
633.2,200,274.421432
698.4,200,277.300659
598.0,200,279.685609
649.8,200,282.47609
585.6,200,284.862722
606.0,200,287.681192
634.8,200,290.480228
632.6,200,292.858046
669.6,200,295.660918
642.2,200,298.063967
577.4,200,300.856855
586.8,200,304.875658
567.4,200,307.648329
572.4,200,310.021326
668.0,200,312.799355
690.2,200,315.618897
564.4,200,318.040601
648.2,200,320.81558
636.0,200,323.198147
624.8,200,325.988652
580.4,200,328.393632
679.0,200,331.18083
685.6,200,334.04507
653.8,200,336.421141
602.0,200,339.189246
607.8,200,341.617444
681.0,200,344.439376
595.2,200,348.419293
626.2,200,351.260153
698.8,200,353.646655
648.2,200,356.456094
684.8,200,359.237252
599.4,200,361.6912
645.4,200,364.488318
644.2,200,366.878653
616.4,200,369.681551
628.0,200,372.050029
611.4,200,374.832154
689.6,200,377.598775
704.0,200,379.98704
616.6,200,382.762487
705.6,200,385.141653
696.0,200,389.526495
703.8,200,391.884169
619.0,200,394.672086
659.4,200,397.054924
642.2,200,399.837942
730.6,200,402.606906
709.4,200,404.997536
760.6,200,407.814092
730.2,200,410.197022
714.4,200,412.959836
687.2,200,415.336714
660.0,200,418.230718
662.6,200,421.016803
616.4,200,423.387229
594.6,200,426.137551
710.8,200,428.532732
589.2,200,432.856114
678.4,200,435.229189
702.8,200,438.016825
714.4,200,440.373267
608.6,200,443.159018
628.0,200,446.00496
599.6,200,448.396763
740.2,200,451.189262
629.4,200,453.604845
656.6,200,456.381677
609.0,200,458.762096
618.6,200,461.532918
746.0,200,464.37163
631.0,200,466.746636
589.6,200,469.558316
595.6,200,473.534973
581.8,200,476.305914
594.6,200,478.677762
597.4,200,481.453922
599.2,200,483.823687
595.0,200,486.601245
595.2,200,489.390373
569.6,200,491.752012
595.8,200,494.503176
592.2,200,496.936896
595.6,200,499.745243
592.2,200,502.191985
597.6,200,504.999352
591.6,200,507.827015
593.2,200,510.190171
593.6,200,512.925043
599.8,200,516.779867
598.0,200,519.547066
600.4,200,521.938852
598.4,200,524.706701
568.2,200,527.066643
596.6,200,529.951954
594.0,200,532.736456
591.6,200,535.102199
596.8,200,537.890016
597.0,200,540.284959
589.2,200,543.062441
599.0,200,545.442809
601.8,200,548.267816
596.4,200,551.04207
589.4,200,553.472892
591.0,200,556.301834
598.0,200,560.356801
600.8,200,563.181498
591.2,200,565.56986
599.6,200,568.388633
596.2,200,570.80259
600.6,200,573.589256
598.2,200,576.433689
596.8,200,578.818642
599.6,200,581.637471
595.8,200,584.031031
601.0,200,586.87832
597.4,200,589.343577
599.8,200,592.154561
599.4,200,594.963081
600.2,200,597.341971
598.6,200,601.695628
597.4,200,604.079322
599.2,200,606.896087
596.8,200,609.31117
600.0,200,612.135546
598.6,200,614.521423
593.4,200,617.413738
599.0,200,620.262572
597.2,200,622.654257
600.2,200,625.487575
600.2,200,627.885008
597.8,200,630.684504
593.6,200,633.090635
598.6,200,635.922226
597.0,200,638.740813
598.6,200,641.12653
596.0,200,645.537947
593.8,200,648.013802
601.4,200,650.815554
597.2,200,653.209982
597.0,200,656.017112
591.0,200,658.402141
591.2,200,661.237908
