#{"t_start": 1701718977.2401526, "env_id": "multigrid-mapf-v0"}
r,l,t
507.88,1000,203.626402
509.02,1000,379.379203
317.03,1000,535.367528
203.82,1000,851.176249
235.01,1000,1050.075275
180.25,1000,1253.005293
167.72,1000,1553.738119
285.47,1000,1721.762971
250.11,1000,1912.840559
70.41,1000,2246.271692
186.5,1000,2402.732424
52.57,1000,2555.448702
115.93,1000,2792.422613
171.92,1000,3005.531568
198.11,1000,3206.730953
184.0,1000,3451.435291
271.3,1000,3602.975507
106.02,1000,3731.607659
166.72,1000,4039.40183
294.12,1000,4210.233026
59.52,1000,4385.081815
205.36,1000,4652.478405
300.88,1000,4831.320585
320.4,1000,5016.602968
176.97,1000,5196.584365
232.11,1000,5515.515754
282.41,1000,5643.656075
301.39,1000,5776.918728
411.44,1000,6026.190852
366.9,1000,6234.7166
210.0,1000,6436.906317
305.07,1000,6695.998135
333.07,1000,6816.452468
304.79,1000,7009.737442
214.76,1000,7349.764103
190.58,1000,7548.160103
300.01,1000,7677.720529
212.45,1000,7931.803957
17.92,1000,8128.837607
100.02,1000,8328.73261
196.42,1000,8607.638252
154.51,1000,8727.693679
55.42,1000,8920.587953
100.82,1000,9249.857023
154.4,1000,9450.227455
200.03,1000,9576.220695
148.8,1000,9833.154579
200.02,1000,10034.391121
200.02,1000,10233.713261
100.03,1000,10432.99746
171.92,1000,10630.38832
182.03,1000,10784.950032
200.0,1000,10986.02013
199.91,1000,11314.232565
200.03,1000,11458.057096
200.01,1000,11587.519711
200.01,1000,11878.917724
200.0,1000,12082.212378
200.03,1000,12279.009112
200.03,1000,12508.65914
102.73,1000,12675.374714
200.03,1000,12881.775616
197.87,1000,13207.262718
156.2,1000,13344.101051
200.03,1000,13492.842264
114.79,1000,13762.320638
200.0,1000,13965.019222
207.03,1000,14139.806297
91.38,1000,14408.740007
53.95,1000,14550.353375
100.0,1000,14715.461969
200.0,1000,15019.177824
100.03,1000,15192.35568
100.01,1000,15392.793311
100.0,1000,15568.173162
277.61,1000,15890.714116
200.0,1000,16090.132996
184.28,1000,16268.628531
254.66,1000,16605.959426
136.01,1000,16781.378441
300.0,1000,16978.952607
300.0,1000,17295.217256
194.41,1000,17498.214684
200.0,1000,17707.352626
100.0,1000,17995.145356
150.4,1000,18183.621519
300.0,1000,18367.879219
200.0,1000,18705.257465
300.0,1000,18901.476772
300.0,1000,19072.341791
300.0,1000,19351.968965
200.0,1000,19553.192854
200.0,1000,19757.442611
300.0,1000,20026.332221
174.74,1000,20158.638908
300.0,1000,20357.380016
199.91,1000,20692.208991
279.21,1000,20900.95787
200.02,1000,21105.984874
284.01,1000,21253.835582
200.01,1000,21582.085521
300.0,1000,21782.192828
248.8,1000,21982.192932
300.0,1000,22282.027638
296.03,1000,22442.84724
1.6,1000,22619.868162
49.61,1000,22943.233074
151.2,1000,23154.227623
200.01,1000,23344.134733
200.0,1000,23652.278993
208.01,1000,23833.982179
300.0,1000,24040.326467
100.0,1000,24342.876818
100.0,1000,24543.61835
68.8,1000,24711.959105
151.22,1000,24967.438569
0.0,1000,25136.284084
275.2,1000,25277.268055
27.2,1000,25581.079282
270.4,1000,25725.227448
168.0,1000,25906.632434
299.8,1000,26183.303405
100.0,1000,26366.84867
260.7,1000,26537.18008
207.2,1000,26671.076272
48.8,1000,26949.195462
300.0,1000,27093.683094
151.7,1000,27281.381745
200.0,1000,27558.055793
199.43,1000,27696.102916
300.0,1000,27876.927854
299.43,1000,28137.900268
