#{"t_start": 1701718977.1534202, "env_id": "multigrid-mapf-v0"}
r,l,t
325.32,1000,203.528024
356.64,1000,379.334559
178.5,1000,535.264897
120.17,1000,851.058918
331.14,1000,1049.964813
278.33,1000,1252.898453
316.04,1000,1553.620616
247.01,1000,1721.667307
204.75,1000,1912.728487
204.26,1000,2246.160232
212.11,1000,2402.686423
158.8,1000,2555.393998
90.72,1000,2792.305238
218.47,1000,3005.414501
184.97,1000,3206.614515
224.49,1000,3451.324661
229.76,1000,3602.937885
333.12,1000,3731.567036
299.81,1000,4039.292274
254.52,1000,4210.131077
205.1,1000,4384.967255
114.24,1000,4652.382575
316.09,1000,4831.204772
209.98,1000,5016.501932
310.69,1000,5196.351589
182.8,1000,5515.413907
293.84,1000,5643.616365
338.96,1000,5776.885679
270.34,1000,6026.07665
269.86,1000,6234.601196
205.61,1000,6436.794555
256.26,1000,6695.965485
279.45,1000,6816.413998
302.08,1000,7009.621722
176.06,1000,7349.65584
338.62,1000,7548.108485
189.82,1000,7677.68945
206.61,1000,7931.691457
236.34,1000,8128.724708
199.94,1000,8328.616041
196.4,1000,8607.613072
157.23,1000,8727.490942
204.35,1000,8920.365263
210.0,1000,9249.742712
110.12,1000,9450.120977
76.73,1000,9576.196178
66.11,1000,9833.040675
49.44,1000,10034.277307
110.0,1000,10233.601495
179.76,1000,10432.954611
194.16,1000,10630.244514
130.01,1000,10784.839448
110.0,1000,10985.900188
110.0,1000,11314.120044
63.92,1000,11458.027576
183.45,1000,11587.4791
110.0,1000,11878.805835
110.0,1000,12082.091568
158.8,1000,12278.95174
210.0,1000,12508.611896
20.0,1000,12675.262938
110.0,1000,12881.658168
210.0,1000,13207.15046
210.0,1000,13344.066368
210.0,1000,13492.732328
210.0,1000,13762.202457
110.0,1000,13964.902943
110.0,1000,14139.762028
130.3,1000,14408.630333
110.0,1000,14550.305805
75.6,1000,14715.343245
10.0,1000,15019.132992
10.0,1000,15192.239263
10.0,1000,15392.692272
10.0,1000,15568.079539
109.91,1000,15890.597674
10.0,1000,16089.819586
10.0,1000,16268.511292
10.0,1000,16605.857064
110.0,1000,16781.270165
110.0,1000,16978.835142
110.0,1000,17295.110147
110.0,1000,17498.092845
110.0,1000,17707.230602
110.0,1000,17995.026011
110.0,1000,18183.51556
110.0,1000,18367.770969
10.0,1000,18705.144675
110.0,1000,18901.4217
110.0,1000,19072.291509
10.0,1000,19351.855567
156.08,1000,19553.077026
110.0,1000,19757.323428
110.0,1000,20026.299698
110.0,1000,20158.531062
110.0,1000,20357.272519
110.0,1000,20692.090116
110.0,1000,20900.834337
10.0,1000,21105.875358
10.0,1000,21253.797211
110.0,1000,21581.963034
20.08,1000,21782.075672
110.0,1000,21981.872877
10.64,1000,22281.990956
110.0,1000,22442.724005
110.0,1000,22619.768807
110.0,1000,22943.122736
10.0,1000,23154.104456
62.18,1000,23344.0358
110.0,1000,23652.176147
123.0,1000,23833.864458
0.0,1000,24040.214467
100.0,1000,24342.762402
100.0,1000,24543.51013
68.8,1000,24711.915951
100.0,1000,24967.370468
0.0,1000,25136.234984
100.0,1000,25277.221512
100.0,1000,25581.02938
0.0,1000,25725.167693
100.0,1000,25906.550434
100.0,1000,26183.261597
88.0,1000,26366.727122
0.0,1000,26537.132205
41.6,1000,26671.032364
95.2,1000,26949.09502
100.0,1000,27093.601008
100.0,1000,27281.26687
100.0,1000,27557.909007
100.0,1000,27695.987877
48.8,1000,27876.823209
100.0,1000,28137.787402
0.0,1000,28334.037673
0.0,1000,28488.189589
0.02,1000,28760.583757
0.0,1000,28898.864624
0.01,1000,29056.313171
0.03,1000,29376.990226
0.02,1000,29547.059953
0.03,1000,29744.069805
0.03,1000,30009.308467
0.0,1000,30210.190642
0.0,1000,30353.197136
0.0,1000,30624.774215
0.02,1000,30768.52449
0.03,1000,30950.203304
0.02,1000,31251.263342
0.02,1000,31394.339721
0.03,1000,31559.300628
0.03,1000,31741.529314
0.02,1000,32064.481045
0.02,1000,32242.763574
0.01,1000,32376.57627
0.01,1000,32607.777902
0.01,1000,32807.352778
0.01,1000,33011.059526
0.02,1000,33273.941561
0.0,1000,33411.90758
0.0,1000,33552.332689
0.02,1000,33877.962572
0.01,1000,34073.758618
0.03,1000,34217.85948
0.01,1000,34450.498573
0.0,1000,34650.731985
0.01,1000,34849.882282
0.01,1000,35127.248041
0.01,1000,35268.13318
0.0,1000,35411.396288
0.01,1000,35723.030865
0.0,1000,35928.315738
0.0,1000,36073.591994
0.0,1000,36277.823459
54.4,1000,36463.855665
0.0,1000,36669.156659
0.0,1000,36868.504031
0.02,1000,37131.376635
0.0,1000,37254.414118
0.11,1000,37408.861243
0.0,1000,37741.75607
0.0,1000,37932.415188
0.0,1000,38080.231836
0.0,1000,38292.532595
0.0,1000,38462.22704
0.0,1000,38663.487745
0.0,1000,38947.061855
0.0,1000,39091.410054
0.0,1000,39248.080227
0.0,1000,39575.263722
100.0,1000,39774.947809
0.0,1000,39933.401036
0.0,1000,40142.313071
0.0,1000,40314.152433
0.0,1000,40529.141612
0.0,1000,40846.857047
100.0,1000,40970.361477
0.0,1000,41118.002192
39.2,1000,41442.405589
100.0,1000,41642.637928
0.0,1000,41804.776049
0.0,1000,41929.80173
0.0,1000,42224.728527
0.0,1000,42426.900558
0.0,1000,42628.534806
0.0,1000,42848.532153
71.2,1000,43003.049032
31.2,1000,43202.648872
0.0,1000,43530.500686
0.0,1000,43701.30525
0.0,1000,43816.439589
0.0,1000,44080.073944
0.0,1000,44276.912922
51.2,1000,44476.331655
0.8,1000,44738.594661
0.0,1000,44852.812964
0.0,1000,45012.934689
0.02,1000,45345.831081
0.0,1000,45542.907396
48.8,1000,45697.613045
0.13,1000,45917.918572
0.02,1000,46114.979667
0.0,1000,46317.864604
18.42,1000,46599.143575
0.02,1000,46733.00194
0.03,1000,46868.020401
51.22,1000,47050.510057
0.0,1000,47397.064077
0.03,1000,47556.967932
32.83,1000,47708.096111
0.0,1000,47949.706562
0.0,1000,48147.71996
0.03,1000,48333.918628
0.0,1000,48550.420529
0.0,1000,48674.714287
0.0,1000,48799.989495
0.01,1000,49017.452352
0.03,1000,49155.975528
0.0,1000,49335.897535
0.0,1000,49619.481927
0.02,1000,49820.087077
0.01,1000,49988.828519
51.2,1000,50210.150457
0.0,1000,50365.330116
0.03,1000,50554.139657
0.03,1000,50879.091002
0.02,1000,51034.706064
0.0,1000,51175.385347
78.4,1000,51488.477816
0.0,1000,51688.468303
32.0,1000,51887.616961
0.0,1000,52018.496572
