#{"t_start": 1701718977.2680666, "env_id": "multigrid-mapf-v0"}
r,l,t
302.07,1000,203.66491
257.33,1000,379.39222
356.89,1000,535.403719
86.01,1000,851.214643
177.58,1000,1050.114186
139.54,1000,1253.037636
255.33,1000,1553.773829
232.89,1000,1721.796163
164.03,1000,1912.880031
100.01,1000,2246.310762
128.88,1000,2402.746413
4.88,1000,2555.467399
105.31,1000,2792.458919
5.14,1000,3005.575624
15.23,1000,3206.770347
139.68,1000,3451.473908
65.44,1000,3602.988424
106.8,1000,3731.625498
154.22,1000,4039.440293
239.53,1000,4210.268718
56.18,1000,4385.116145
175.64,1000,4652.511426
199.52,1000,4831.35495
248.8,1000,5016.637634
148.8,1000,5196.618715
260.01,1000,5515.55416
89.93,1000,5643.670231
152.58,1000,5776.930225
53.95,1000,6026.228122
169.64,1000,6234.758405
95.64,1000,6436.9467
176.72,1000,6696.010367
300.0,1000,6816.479222
200.0,1000,7009.774746
100.0,1000,7349.805475
200.0,1000,7548.175097
221.63,1000,7677.733528
162.42,1000,7931.8424
199.93,1000,8128.873507
136.68,1000,8328.774376
13.9,1000,8607.649797
99.62,1000,8727.72468
60.4,1000,8920.630897
105.2,1000,9249.89623
109.69,1000,9450.261496
10.0,1000,9576.229877
10.0,1000,9833.196013
10.0,1000,10034.42766
10.02,1000,10233.753311
10.12,1000,10433.014809
110.03,1000,10630.404823
30.12,1000,10784.985907
83.62,1000,10986.058508
85.42,1000,11314.268969
110.03,1000,11458.067926
58.91,1000,11587.532174
110.03,1000,11878.951912
95.64,1000,12082.251165
110.02,1000,12279.026741
10.02,1000,12508.76968
10.01,1000,12675.412015
110.0,1000,12881.818058
63.6,1000,13207.298437
110.03,1000,13344.112687
58.8,1000,13492.881406
110.02,1000,13762.360013
10.11,1000,13965.056898
110.0,1000,14139.821289
10.02,1000,14408.780491
110.03,1000,14550.391435
110.0,1000,14715.501151
110.0,1000,15019.192068
80.43,1000,15192.398879
188.4,1000,15392.828696
210.0,1000,15568.206215
210.0,1000,15890.753829
210.0,1000,16090.175814
210.0,1000,16268.663637
143.63,1000,16605.994067
110.0,1000,16781.412919
210.0,1000,16978.992706
102.03,1000,17295.257109
204.42,1000,17498.259379
61.06,1000,17707.391841
30.1,1000,17995.187367
10.02,1000,18183.658233
10.0,1000,18367.914909
110.0,1000,18705.297644
110.0,1000,18901.492442
110.0,1000,19072.357801
110.0,1000,19352.005022
110.0,1000,19553.22852
110.0,1000,19757.480982
10.0,1000,20026.347095
10.0,1000,20158.676254
110.0,1000,20357.416493
10.0,1000,20692.252479
110.0,1000,20901.002535
10.0,1000,21106.020937
110.0,1000,21253.851186
110.0,1000,21582.122327
66.16,1000,21782.23269
110.0,1000,21982.232319
110.18,1000,22282.040148
106.01,1000,22442.889806
130.55,1000,22619.900468
0.0,1000,22943.271264
0.0,1000,23154.273183
100.0,1000,23344.170316
100.0,1000,23652.312707
