#{"t_start": 1701718977.211033, "env_id": "multigrid-mapf-v0"}
r,l,t
536.83,1000,203.590938
307.66,1000,379.362536
438.07,1000,535.337647
252.93,1000,851.137224
279.6,1000,1050.03741
193.0,1000,1252.969611
117.74,1000,1553.699635
287.63,1000,1721.729958
213.36,1000,1912.805203
109.18,1000,2246.235408
342.56,1000,2402.716183
244.16,1000,2555.429204
230.32,1000,2792.3839
92.26,1000,3005.49001
80.38,1000,3206.692884
161.48,1000,3451.401338
217.6,1000,3602.964326
110.74,1000,3731.594268
222.32,1000,4039.366338
257.73,1000,4210.198633
167.12,1000,4385.043076
259.6,1000,4652.448351
12.31,1000,4831.279896
52.3,1000,5016.567231
109.32,1000,5196.544239
62.37,1000,5515.481968
179.55,1000,5643.64121
116.6,1000,5776.906845
228.51,1000,6026.15371
307.37,1000,6234.683188
346.72,1000,6436.865618
226.32,1000,6695.987565
228.34,1000,6816.440335
242.42,1000,7009.701619
158.8,1000,7349.731041
191.63,1000,7548.142411
397.85,1000,7677.713083
298.71,1000,7931.764364
255.63,1000,8128.798902
210.66,1000,8328.694242
154.55,1000,8607.631029
205.45,1000,8727.664114
155.35,1000,8920.556182
351.41,1000,9249.81698
300.04,1000,9450.192922
305.64,1000,9576.213461
399.82,1000,9833.119303
189.36,1000,10034.354605
282.57,1000,10233.674506
306.67,1000,10432.986413
251.74,1000,10630.37823
256.13,1000,10784.910796
310.02,1000,10985.981632
309.31,1000,11314.19539
326.66,1000,11458.04804
329.51,1000,11587.503736
301.8,1000,11878.878311
320.05,1000,12082.1692
226.05,1000,12278.987807
218.67,1000,12508.643789
153.95,1000,12675.339283
200.01,1000,12881.739296
169.31,1000,13207.22221
148.83,1000,13344.089507
200.0,1000,13492.804241
200.0,1000,13762.281512
200.01,1000,13964.977288
100.73,1000,14139.792918
100.71,1000,14408.70445
153.94,1000,14550.338878
169.04,1000,14715.419267
153.94,1000,15019.162124
2.62,1000,15192.317147
100.7,1000,15392.760025
200.0,1000,15568.142428
200.7,1000,15890.67505
300.0,1000,16090.093111
300.0,1000,16268.590159
271.13,1000,16605.925177
88.51,1000,16781.344681
165.44,1000,16978.916216
20.82,1000,17295.182507
100.0,1000,17498.174676
200.0,1000,17707.310818
148.01,1000,17995.105899
0.72,1000,18183.586808
11.44,1000,18367.842321
156.08,1000,18705.221559
56.08,1000,18901.458675
156.08,1000,19072.325195
143.84,1000,19351.933974
122.24,1000,19553.153799
139.52,1000,19757.406821
100.7,1000,20026.323282
100.7,1000,20158.604686
0.7,1000,20357.344462
79.12,1000,20692.169285
156.08,1000,20900.915632
172.64,1000,21105.948874
0.7,1000,21253.825678
168.32,1000,21582.044588
100.0,1000,21782.153322
200.0,1000,21981.948431
147.98,1000,22282.013606
110.0,1000,22442.806469
156.08,1000,22619.835919
10.0,1000,22943.197009
110.0,1000,23154.184085
10.0,1000,23344.099096
10.02,1000,23652.24464
110.0,1000,23833.945122
156.08,1000,24040.28822
110.0,1000,24342.839074
109.91,1000,24543.582857
110.0,1000,24711.945982
110.0,1000,24967.41765
133.76,1000,25136.266922
52.85,1000,25277.254189
0.7,1000,25581.062843
109.89,1000,25725.204112
110.0,1000,25906.606049
117.84,1000,26183.285689
189.2,1000,26366.806811
57.84,1000,26537.16321
110.0,1000,26671.064495
95.9,1000,26949.161445
53.92,1000,27093.657122
110.0,1000,27281.344095
110.0,1000,27558.040918
151.76,1000,27696.068257
149.12,1000,27876.894892
4.16,1000,28137.864596
118.64,1000,28334.066109
56.08,1000,28488.221922
4.88,1000,28760.658251
10.0,1000,28898.895215
10.03,1000,29056.385998
110.0,1000,29377.059658
63.92,1000,29547.138137
110.0,1000,29744.100953
110.0,1000,30009.385193
110.0,1000,30210.26752
10.0,1000,30353.225784
46.11,1000,30624.805262
10.0,1000,30768.556728
18.0,1000,30950.279183
110.0,1000,31251.292295
110.0,1000,31394.370901
110.0,1000,31559.371453
110.0,1000,31741.609284
110.0,1000,32064.559256
110.0,1000,32242.794735
10.0,1000,32376.604513
110.0,1000,32607.813268
72.41,1000,32807.404424
10.03,1000,33011.143958
10.0,1000,33273.969818
91.6,1000,33411.936718
110.0,1000,33552.365426
110.0,1000,33878.042388
110.0,1000,34073.833768
110.0,1000,34217.889605
