#{"t_start": 1700953977.755007, "env_id": "multigrid-mapf-v0"}
r,l,t
0.2,1000,13.362873
0.6,1000,24.39396
1.0,1000,34.950433
0.2,1000,54.185194
0.4,1000,65.936301
0.6,1000,78.465902
0.8,1000,98.421149
1.4,1000,110.167698
2.0,1000,121.051625
4.4,1000,140.404823
20.2,1000,151.800919
88.2,1000,163.885976
183.0,1000,184.205379
190.4,1000,195.10378
197.0,1000,205.785391
200.4,1000,225.258546
223.0,1000,237.203773
311.2,1000,249.126852
392.4,1000,269.070056
391.8,1000,280.052929
398.0,1000,291.383496
395.4,1000,310.32554
397.8,1000,321.657806
399.0,1000,333.654799
399.8,1000,345.32404
399.8,1000,365.586445
399.6,1000,376.378971
399.0,1000,387.504567
398.8,1000,408.034082
395.6,1000,420.650369
399.6,1000,431.833648
400.2,1000,451.35257
399.8,1000,462.480364
400.6,1000,473.758722
400.6,1000,493.275824
401.0,1000,505.460318
401.2,1000,516.625663
401.2,1000,536.883595
401.8,1000,547.888104
405.8,1000,558.790364
406.2,1000,578.551887
424.4,1000,591.404464
513.8,1000,602.878489
613.4,1000,622.402718
718.6,1000,633.400524
789.0,1000,644.508541
791.4,1000,664.814992
792.0,1000,676.762743
796.6,1000,688.324104
793.8,1000,699.756357
797.2,1000,719.568569
796.0,1000,730.446154
798.4,1000,741.330335
798.8,1000,761.507841
795.6,1000,773.617211
798.2,1000,785.147057
798.2,1000,804.423743
799.2,1000,815.323112
798.2,1000,826.43669
801.0,1000,847.799774
802.2,1000,859.444555
802.0,1000,871.138251
