#{"t_start": 1700953977.7762213, "env_id": "multigrid-mapf-v0"}
r,l,t
0.4,1000,13.364909
0.8,1000,24.3957
0.2,1000,34.951949
0.4,1000,54.186852
0.4,1000,65.943538
0.8,1000,78.46925
0.4,1000,98.423425
1.4,1000,110.170439
2.8,1000,121.05337
3.6,1000,140.40715
19.8,1000,151.804503
96.8,1000,163.893753
188.2,1000,184.207464
194.8,1000,195.105491
197.4,1000,205.786922
201.2,1000,225.263024
220.0,1000,237.206822
313.2,1000,249.130185
382.8,1000,269.153505
396.4,1000,280.054927
397.4,1000,291.385324
396.6,1000,310.327355
397.6,1000,321.660947
398.6,1000,333.658486
400.0,1000,345.328599
399.8,1000,365.588163
400.0,1000,376.381207
399.6,1000,387.506592
399.2,1000,408.13563
399.4,1000,420.653564
400.2,1000,431.835466
400.2,1000,451.354349
400.0,1000,462.482476
400.8,1000,473.760581
400.8,1000,493.278362
400.0,1000,505.464562
401.6,1000,516.62755
403.0,1000,536.885493
401.4,1000,547.969752
402.2,1000,558.792604
408.2,1000,578.55907
426.8,1000,591.408271
502.8,1000,602.880564
588.4,1000,622.404761
722.8,1000,633.402645
786.6,1000,644.510932
795.0,1000,664.818505
788.2,1000,676.848032
793.8,1000,688.326728
795.2,1000,699.7588
798.4,1000,719.570426
797.0,1000,730.447963
797.6,1000,741.332165
799.6,1000,761.512012
797.0,1000,773.619617
797.2,1000,785.149701
798.6,1000,804.42598
799.6,1000,815.406268
797.4,1000,826.438831
800.6,1000,847.803049
803.0,1000,859.446796
803.4,1000,871.140788
