#{"t_start": 1700945687.7910657, "env_id": "multigrid-mapf-v0"}
r,l,t
0.8,200,4.126045
0.0,200,6.134174
0.4,200,8.107995
0.2,200,10.180163
0.6,200,12.159194
0.2,200,14.221349
0.2,200,16.218465
0.2,200,18.262375
0.4,200,20.364977
0.4,200,22.396914
0.6,200,24.511566
0.0,200,26.520615
0.2,200,28.553678
0.2,200,30.557379
0.4,200,32.563266
0.4,200,36.168756
0.4,200,38.210918
0.8,200,40.256823
1.6,200,42.276647
1.0,200,44.336665
2.0,200,46.42481
1.2,200,48.472434
2.4,200,50.493136
0.8,200,52.523415
2.4,200,54.58059
2.2,200,56.598417
1.8,200,58.679587
7.2,200,60.688414
3.2,200,62.726098
1.2,200,64.733693
3.6,200,66.852689
7.4,200,70.454198
9.8,200,72.549128
14.4,200,74.626321
9.6,200,76.671861
23.4,200,78.734929
18.4,200,80.803373
33.6,200,82.889553
32.8,200,84.935585
29.8,200,86.994003
34.2,200,89.17976
34.2,200,91.220572
35.4,200,93.337463
36.6,200,95.348043
37.8,200,97.370414
40.2,200,99.372776
39.0,200,103.026744
36.4,200,105.059969
41.6,200,107.117358
37.8,200,109.18656
37.8,200,111.192986
41.2,200,113.305013
41.6,200,115.292756
38.6,200,117.382457
40.4,200,119.405833
39.2,200,121.484646
40.2,200,123.523482
41.4,200,125.530795
40.8,200,127.585376
39.2,200,129.608106
43.2,200,131.652973
52.4,200,133.745411
44.0,200,137.379242
45.8,200,139.370521
43.0,200,141.431541
42.4,200,143.497509
41.6,200,145.547549
40.8,200,147.607998
39.8,200,149.61482
39.0,200,151.691356
40.6,200,153.742255
43.6,200,155.857832
48.4,200,158.005296
40.0,200,159.999228
37.2,200,162.082447
41.0,200,164.078766
45.8,200,166.138854
51.4,200,168.160745
55.2,200,171.800823
49.0,200,173.7995
47.4,200,175.840641
49.2,200,178.018366
42.0,200,180.043186
49.6,200,182.101824
42.8,200,184.124333
41.0,200,186.183252
61.8,200,188.231266
45.4,200,190.274631
42.6,200,192.319806
41.6,200,194.324725
48.2,200,196.401677
40.2,200,198.438221
60.0,200,200.599538
54.6,200,204.224748
43.8,200,206.301431
78.0,200,208.351083
61.8,200,210.44914
43.6,200,212.499235
61.8,200,214.529226
50.4,200,216.603538
61.8,200,218.607702
66.8,200,220.667727
48.0,200,222.728366
43.8,200,224.788304
72.2,200,226.892363
73.6,200,228.899706
63.4,200,230.975692
75.2,200,233.039477
75.2,200,235.113557
61.6,200,238.786643
75.8,200,240.892589
74.6,200,242.894088
72.6,200,244.97609
65.2,200,247.085725
76.0,200,249.103694
54.8,200,251.193276
49.6,200,253.239988
