#{"t_start": 1700945687.7846112, "env_id": "multigrid-mapf-v0"}
r,l,t
0.0,200,4.125464
0.2,200,6.133707
0.0,200,8.106908
0.2,200,10.179462
0.8,200,12.158507
0.2,200,14.216079
0.2,200,16.217785
0.2,200,18.261605
0.0,200,20.363688
0.2,200,22.39626
0.2,200,24.51082
0.2,200,26.519518
0.4,200,28.553003
0.2,200,30.556633
0.6,200,32.562259
0.8,200,36.167947
0.4,200,38.210184
1.4,200,40.255678
0.0,200,42.275856
1.0,200,44.335707
0.4,200,46.423576
2.4,200,48.471744
4.6,200,50.492323
3.8,200,52.522217
4.2,200,54.579793
3.0,200,56.597608
5.0,200,58.678555
6.4,200,60.687696
4.2,200,62.725397
9.4,200,64.732731
12.0,200,66.773642
4.0,200,70.453297
14.0,200,72.548224
5.8,200,74.625236
23.4,200,76.670997
16.4,200,78.734045
7.6,200,80.802173
25.2,200,82.888662
30.0,200,84.934749
35.8,200,86.992734
32.0,200,89.178931
39.2,200,91.219674
36.8,200,93.336368
33.0,200,95.347358
39.2,200,97.369777
38.8,200,99.371788
35.4,200,103.025962
38.8,200,105.058854
31.6,200,107.116536
39.0,200,109.185752
39.4,200,111.191882
38.8,200,113.30406
39.2,200,115.291844
41.8,200,117.381513
38.6,200,119.404594
42.6,200,121.483843
40.4,200,123.522795
44.4,200,125.529698
41.6,200,127.584604
45.4,200,129.607279
40.4,200,131.651905
43.0,200,133.744537
42.0,200,137.378669
40.2,200,139.369489
45.4,200,141.430712
39.6,200,143.496665
40.6,200,145.546296
47.0,200,147.607249
42.4,200,149.613878
41.0,200,151.690058
51.0,200,153.741362
41.8,200,155.856961
52.8,200,158.004158
44.4,200,159.998333
52.8,200,162.081608
45.2,200,164.077399
42.6,200,166.138016
51.8,200,168.160014
41.0,200,171.799873
43.0,200,173.798794
48.0,200,175.839858
41.4,200,177.939109
69.4,200,180.042393
41.4,200,182.100892
47.4,200,184.123194
45.2,200,186.182424
49.4,200,188.230528
53.4,200,190.273595
54.8,200,192.319133
62.8,200,194.32412
41.0,200,196.400489
53.6,200,198.437272
66.2,200,200.598785
59.4,200,204.223792
44.4,200,206.30074
42.0,200,208.350413
73.4,200,210.447936
56.0,200,212.498543
71.4,200,214.528455
68.2,200,216.602451
44.4,200,218.60686
48.4,200,220.666901
56.2,200,222.649019
49.4,200,224.78732
72.6,200,226.891541
76.2,200,228.898647
44.4,200,230.974745
71.8,200,233.038523
74.2,200,235.112265
