#{"t_start": 1700953977.7620332, "env_id": "multigrid-mapf-v0"}
r,l,t
0.0,1000,13.36373
1.0,1000,24.394579
0.0,1000,34.951385
0.8,1000,54.185807
1.4,1000,65.938186
0.8,1000,78.467378
0.8,1000,98.422091
1.0,1000,110.168868
1.8,1000,121.052572
3.6,1000,140.405625
18.0,1000,151.802096
91.6,1000,163.889584
178.8,1000,184.206053
185.6,1000,195.10444
197.6,1000,205.786362
201.0,1000,225.259771
216.0,1000,237.204987
302.8,1000,249.128484
384.2,1000,269.070791
398.4,1000,280.053786
395.8,1000,291.384557
398.4,1000,310.32616
399.0,1000,321.658962
399.6,1000,333.656568
399.4,1000,345.325538
399.4,1000,365.587303
400.0,1000,376.380198
399.0,1000,387.505302
394.6,1000,408.036012
398.8,1000,420.651897
398.2,1000,431.834338
399.4,1000,451.353241
399.4,1000,462.481518
398.8,1000,473.759455
400.6,1000,493.276881
401.2,1000,505.462114
401.6,1000,516.626492
400.6,1000,536.884432
402.2,1000,547.968761
403.2,1000,558.791181
408.4,1000,578.554429
426.6,1000,591.406212
488.0,1000,602.879188
585.4,1000,622.40364
739.6,1000,633.401241
785.6,1000,644.509398
790.6,1000,664.816533
791.0,1000,676.763993
798.2,1000,688.325134
796.8,1000,699.757691
797.4,1000,719.569238
796.8,1000,730.446825
796.0,1000,741.33129
799.4,1000,761.509207
794.6,1000,773.618122
794.0,1000,785.148409
798.0,1000,804.424602
796.2,1000,815.323971
799.6,1000,826.437956
802.2,1000,847.801107
799.0,1000,859.445323
802.4,1000,871.139562
