#{"t_start": 1700953977.779777, "env_id": "multigrid-mapf-v0"}
r,l,t
0.6,1000,13.365321
0.8,1000,24.395899
0.2,1000,34.952047
0.8,1000,54.187094
0.2,1000,65.944861
1.4,1000,78.469622
2.2,1000,98.423732
1.2,1000,110.170687
2.4,1000,121.053606
5.2,1000,140.407407
21.8,1000,151.804749
90.4,1000,163.894662
180.0,1000,184.207723
194.0,1000,195.105791
199.8,1000,205.787355
202.4,1000,225.26343
222.2,1000,237.207192
311.4,1000,249.131075
378.8,1000,269.153707
390.4,1000,280.055115
398.2,1000,291.385805
398.0,1000,310.327533
399.8,1000,321.661432
399.8,1000,333.659096
400.0,1000,345.328908
399.4,1000,365.588454
399.8,1000,376.381692
400.0,1000,387.506765
399.2,1000,408.136241
399.6,1000,420.654242
399.0,1000,431.83568
401.0,1000,451.354544
400.8,1000,462.482917
400.4,1000,473.760756
400.8,1000,493.278599
400.8,1000,505.465436
401.0,1000,516.627712
402.0,1000,536.885741
400.0,1000,547.97031
402.2,1000,558.792833
413.4,1000,578.56012
440.6,1000,591.409113
525.4,1000,602.880745
625.0,1000,622.404975
737.6,1000,633.402833
782.6,1000,644.511188
795.8,1000,664.81885
798.6,1000,676.848493
797.2,1000,688.326977
797.2,1000,699.759103
796.8,1000,719.570623
797.4,1000,730.448207
796.6,1000,741.332394
798.2,1000,761.512596
796.0,1000,773.619992
792.8,1000,785.150051
798.4,1000,804.426168
799.0,1000,815.406357
798.0,1000,826.439023
801.8,1000,847.803644
801.0,1000,859.44707
802.8,1000,871.141162
