#{"t_start": 1700945687.794546, "env_id": "multigrid-mapf-v0"}
r,l,t
0.0,200,4.126041
0.2,200,6.134285
0.0,200,8.108179
0.2,200,10.180308
0.2,200,12.159162
0.4,200,14.221569
0.2,200,16.218669
0.2,200,18.262596
0.4,200,20.365058
0.0,200,22.396945
0.2,200,24.51181
0.4,200,26.520704
0.2,200,28.55375
0.8,200,30.557557
0.6,200,32.563251
0.4,200,36.168902
1.0,200,38.211053
0.8,200,40.2569
1.4,200,42.276826
1.2,200,44.336903
0.6,200,46.424843
0.6,200,48.47255
2.4,200,50.493362
1.4,200,52.523545
4.6,200,54.58078
3.8,200,56.598561
2.8,200,58.679784
3.2,200,60.688679
6.2,200,62.726236
8.4,200,64.733879
2.8,200,66.852716
17.2,200,70.454337
5.4,200,72.549522
15.8,200,74.626533
12.8,200,76.672009
14.2,200,78.735403
25.0,200,80.803574
31.6,200,82.88972
24.0,200,84.936051
34.0,200,86.994241
28.8,200,89.179959
31.6,200,91.221119
37.8,200,93.337568
38.2,200,95.348258
39.6,200,97.370764
34.0,200,99.372885
35.0,200,103.026908
39.2,200,105.060091
39.8,200,107.117428
37.8,200,109.186748
39.8,200,111.271206
41.6,200,113.305082
40.4,200,115.292963
42.0,200,117.382862
39.2,200,119.405905
40.6,200,121.484694
43.4,200,123.524056
40.0,200,125.530913
45.6,200,127.585577
40.2,200,129.608624
41.2,200,131.653112
41.0,200,133.745605
40.0,200,137.379645
39.8,200,139.370604
36.2,200,141.431683
42.2,200,143.498048
41.6,200,145.547599
43.8,200,147.608258
43.4,200,149.615351
42.4,200,151.691466
43.6,200,153.742448
49.2,200,155.936764
40.8,200,158.005457
40.2,200,159.999372
39.6,200,162.082991
40.8,200,164.078916
42.2,200,166.138951
58.2,200,168.161187
64.2,200,171.800984
44.0,200,173.799568
41.4,200,175.841134
44.0,200,178.018466
58.0,200,180.043267
66.4,200,182.101941
69.2,200,184.124588
65.6,200,186.183423
60.8,200,188.231377
61.0,200,190.274722
43.8,200,192.319815
42.6,200,194.324803
41.6,200,196.401893
68.6,200,198.438347
43.0,200,200.599694
43.0,200,204.224886
64.6,200,206.301539
65.4,200,208.351288
61.8,200,210.449325
52.0,200,212.499377
53.6,200,214.529334
41.6,200,216.603703
58.0,200,218.607849
58.0,200,220.667816
42.2,200,222.728476
69.2,200,224.788438
58.6,200,226.892496
51.8,200,228.899927
55.8,200,230.975945
49.8,200,233.039638
65.8,200,235.113815
47.4,200,238.786826
56.0,200,240.892769
66.4,200,242.894247
78.2,200,244.976205
66.2,200,247.085862
75.8,200,249.103883
71.8,200,251.193507
63.4,200,253.240217
57.6,200,255.283546
73.0,200,257.284489
63.6,200,259.374218
72.4,200,261.44592
59.6,200,263.476663
78.4,200,265.569312
71.4,200,267.664306
70.4,200,269.725561
69.6,200,273.343295
70.2,200,275.422585
79.4,200,277.480738
57.6,200,279.559304
76.2,200,281.63456
77.8,200,283.677236
77.4,200,285.738131
74.6,200,287.776135
78.4,200,289.847075
68.4,200,291.96516
70.4,200,294.033822
77.2,200,296.121392
76.0,200,298.147449
79.0,200,300.260959
77.4,200,302.30919
78.4,200,306.019016
79.6,200,308.035174
76.0,200,310.098374
79.8,200,312.136674
79.2,200,314.32057
75.4,200,316.405883
79.6,200,318.411901
75.0,200,320.476007
80.2,200,322.532126
78.2,200,324.626236
79.0,200,326.651807
79.6,200,328.70955
74.8,200,330.781398
80.2,200,332.815787
79.8,200,334.898896
80.0,200,337.012075
79.4,200,340.663153
80.2,200,342.694154
79.6,200,344.7747
80.6,200,346.841966
78.8,200,348.953664
79.2,200,351.036388
80.2,200,353.029285
79.8,200,355.093289
79.6,200,357.148631
79.4,200,359.314178
80.0,200,361.333702
80.2,200,363.401099
80.4,200,365.469046
80.0,200,367.505591
80.6,200,369.580486
80.4,200,373.177063
80.0,200,375.237274
79.6,200,377.243915
80.0,200,379.321957
80.2,200,381.351576
79.6,200,383.504331
79.0,200,385.557345
79.8,200,387.575155
80.2,200,389.646031
79.8,200,391.671083
79.4,200,393.730799
79.8,200,395.737227
80.0,200,397.818195
79.6,200,399.886256
79.4,200,401.907315
79.0,200,403.992262
77.2,200,407.689409
80.8,200,409.763841
79.2,200,411.824413
78.6,200,413.882143
78.6,200,415.938924
80.2,200,418.039527
79.2,200,420.094243
78.6,200,422.121489
79.8,200,424.177774
80.4,200,426.233605
79.8,200,428.378974
80.6,200,430.382382
79.2,200,432.44803
80.2,200,434.518307
78.4,200,436.556993
79.8,200,438.631486
80.0,200,442.268622
80.2,200,444.343453
80.2,200,446.380301
80.8,200,448.43128
80.4,200,450.512434
80.0,200,452.660506
80.0,200,454.777235
80.4,200,456.825348
80.0,200,458.928062
80.2,200,460.983681
80.6,200,463.081281
80.2,200,465.152187
80.2,200,467.268463
80.4,200,469.330792
80.4,200,471.365711
80.4,200,475.111588
80.2,200,477.152861
80.2,200,479.248032
80.2,200,481.254878
80.0,200,483.347464
79.8,200,485.368769
80.2,200,487.455259
80.4,200,489.538336
80.2,200,491.53096
80.6,200,493.594576
80.4,200,495.637669
80.6,200,497.788967
80.6,200,499.826804
80.8,200,501.898436
80.0,200,503.963476
80.8,200,505.988131
80.6,200,509.701893
80.8,200,511.743329
81.2,200,513.794795
80.8,200,515.832625
80.4,200,517.897727
80.6,200,520.009494
80.8,200,522.066616
80.0,200,524.1205
80.8,200,526.131878
80.4,200,528.204253
80.8,200,530.243087
80.6,200,532.314826
81.0,200,534.341535
80.4,200,536.397508
80.6,200,538.488211
80.4,200,540.473468
80.8,200,544.255947
80.2,200,546.261069
80.6,200,548.318552
80.0,200,550.377679
80.6,200,552.455333
80.2,200,554.470608
80.4,200,556.528048
80.6,200,558.579777
80.4,200,560.593375
80.8,200,562.659109
80.8,200,564.775494
80.6,200,566.857688
80.6,200,568.910731
80.6,200,570.995816
80.8,200,573.081023
80.8,200,576.733868
82.0,200,578.819304
80.6,200,580.862395
81.8,200,582.927176
82.0,200,584.971361
82.0,200,587.091025
82.8,200,589.211336
81.0,200,591.292286
83.6,200,593.363099
82.2,200,595.395478
82.0,200,597.494559
83.4,200,599.526933
84.0,200,601.617994
82.8,200,603.642413
82.8,200,605.709148
83.2,200,607.768827
83.8,200,611.445903
84.2,200,613.537088
85.2,200,615.543782
85.2,200,617.628652
87.4,200,619.660745
89.6,200,621.752084
89.6,200,623.794487
86.4,200,625.895488
86.2,200,627.96008
93.2,200,630.039356
99.6,200,632.127873
92.4,200,634.251205
99.0,200,636.333854
93.2,200,638.378004
96.0,200,640.469302
92.8,200,644.133637
99.4,200,646.167249
100.6,200,648.256816
99.8,200,650.322837
114.2,200,652.40575
101.8,200,654.450781
93.4,200,656.630693
106.8,200,658.649129
118.6,200,660.706055
117.2,200,662.782093
119.8,200,664.81342
131.8,200,666.879401
127.6,200,668.919359
128.2,200,670.991092
122.6,200,673.036835
147.4,200,675.157196
