#{"t_start": 1701822681.0185654, "env_id": "multigrid-mapf-v0"}
r,l,t
190.96,1000,105.03167
32.1,1000,211.627327
2.63,1000,317.283576
52.13,1000,495.538174
5.41,1000,606.592834
7.73,1000,713.184804
2.57,1000,888.040124
24.48,1000,999.517065
0.01,1000,1105.740404
0.02,1000,1287.947162
0.21,1000,1394.199885
0.01,1000,1503.355499
1.2,1000,1681.694461
0.06,1000,1791.048817
0.75,1000,1900.166235
0.54,1000,2078.597261
0.32,1000,2185.891913
0.0,1000,2294.950563
3.63,1000,2474.764281
0.04,1000,2584.675196
0.14,1000,2693.397373
22.13,1000,2867.650887
0.03,1000,2975.667431
0.0,1000,3083.708833
