#{"t_start": 1701822680.9555376, "env_id": "multigrid-mapf-v0"}
r,l,t
87.06,1000,104.95718
127.63,1000,211.545114
60.09,1000,317.202671
63.8,1000,495.45434
6.71,1000,606.508948
1.52,1000,713.106013
5.48,1000,887.956887
25.67,1000,999.433781
0.02,1000,1105.65508
0.43,1000,1287.86616
0.32,1000,1394.039041
0.21,1000,1503.274453
0.21,1000,1681.613845
0.78,1000,1790.967336
0.33,1000,1900.085702
0.0,1000,2078.517051
0.33,1000,2185.811778
0.0,1000,2294.869363
1.47,1000,2474.681443
0.25,1000,2584.592157
0.34,1000,2693.318539
0.25,1000,2867.568148
0.33,1000,2975.587958
0.15,1000,3083.625222
0.0,1000,3191.803158
