#{"t_start": 1701822680.924276, "env_id": "multigrid-mapf-v0"}
r,l,t
147.08,1000,104.919055
68.25,1000,211.507578
14.58,1000,317.164606
2.6,1000,495.413549
4.97,1000,606.468446
25.61,1000,713.064572
0.0,1000,887.918079
0.92,1000,999.394876
0.04,1000,1105.614233
0.24,1000,1287.82193
27.06,1000,1393.996731
0.02,1000,1503.234215
0.0,1000,1681.573956
0.11,1000,1790.844296
0.15,1000,1900.045671
0.12,1000,2078.475785
0.11,1000,2185.769379
0.02,1000,2294.829424
0.01,1000,2474.642965
0.11,1000,2584.552674
0.36,1000,2693.279966
0.12,1000,2867.531253
0.0,1000,2975.546267
0.37,1000,3083.587621
0.77,1000,3191.7646
